EnteDiCompetenza;Provincia;Comune;DenominazioneIndirizzo;Indirizzo;NumeroCivico;VIA;CodiceEdificioRilevazione;CodiceEdificioRegionePiemonte;AnnoDiCostruzione;AnnoDiCostruzioneSND;AnnoEsattoDiCostruzione;CopiaArchivioSiNo;ContaEdifici
Comune;Torino;Torino;Corso Chieri;CORSO CHIERI;136;CORSO CHIERI 136;07/156;12720099;Anno specificare;Si;1889;No;1
Comune;Torino;Torino;Corso Cirie';CORSO CIRIE';3/a;CORSO CIRIE' 3/a;07/171;12720016;Anno specificare;Si;1974;No;1
Comune;Torino;Torino;Corso Cincinnato;CORSO CINCINNATO;121;CORSO CINCINNATO 121;05/110;12720049;Anno specificare;Si;1980;No;1
Comune;Torino;Torino;CORSO CROCE BENEDETTO;CORSO CROCE BENEDETTO;17;CORSO CROCE BENEDETTO 17;09/198;12720169;Anno specificare;Si;1968;No;1
Comune;Torino;Torino;CORSO CROCE BENEDETTO;CORSO CROCE BENEDETTO;26;CORSO CROCE BENEDETTO 26;09/190;12720079;Anno specificare;Si;1964;No;1
Comune;Torino;Torino;CORSO FRANCIA;CORSO FRANCIA;377;CORSO FRANCIA 377;03/051;12720140;Anno specificare;Si;1954;No;1
Comune;Torino;Torino;Corso Racconigi;CORSO RACCONIGI;31;CORSO RACCONIGI 31;03/064;12720074;Anno specificare;Si;1914;No;1
Comune;Torino;Torino;Corso Peschiera;CORSO PESCHIERA;380;CORSO PESCHIERA 380;03/060;12720066;Anno specificare;Si;1925;No;1
Comune;Torino;Torino;Corso Orbassano;CORSO ORBASSANO;224/26;CORSO ORBASSANO 224/26;02/039;12720023;Anno specificare;Si;1973;No;1
Comune;Torino;Torino;Corso Matteotti Giacomo;CORSO MATTEOTTI GIACOMO;9;CORSO MATTEOTTI GIACOMO 9;01/018;12720206;Anno specificare;Si;1874;No;1
Comune;Torino;Torino;Corso Moncalieri;CORSO MONCALIERI;400;CORSO MONCALIERI 400;08/181;12720007;Anno specificare;Si;1930;No;1
Comune;Torino;Torino;Corso Giulio Cesare;CORSO GIULIO CESARE;26;CORSO GIULIO CESARE 26;07/164;12720121;Anno specificare;Si;1882;No;1
Comune;Torino;Torino;Corso Orbassano;CORSO ORBASSANO;155/A;CORSO ORBASSANO 155/A;02/037;12720292;Anno specificare;Si;1913;No;1
Comune;Torino;Torino;Corso Lombardia;CORSO LOMBARDIA;98;CORSO LOMBARDIA 98;05/109;12720119;Anno specificare;Si;1928;No;1
Comune;Torino;Torino;Corso Novara;CORSO NOVARA;26;CORSO NOVARA 26;07/168;12720166;Anno specificare;Si;1961;No;1
Comune;Torino;Torino;Corso Matteotti Giacomo;CORSO MATTEOTTI GIACOMO;6 bis;CORSO MATTEOTTI GIACOMO 6 bis;01/004;12720025;Anno specificare;Si;1955;No;1
Comune;Torino;Torino;Corso Regina Margherita;CORSO REGINA MARGHERITA;43;CORSO REGINA MARGHERITA 43;07/161;12720054;Anno specificare;Si;1900;No;1
Comune;Torino;Torino;Corso Regio Parco;CORSO REGIO PARCO;19;CORSO REGIO PARCO 19;07/170;12720104;Anno specificare;Si;1924;No;1
Comune;Torino;Torino;Corso Sebastopoli;CORSO SEBASTOPOLI;258;CORSO SEBASTOPOLI 258;02/035;12720132;Anno specificare;Si;1976;No;1
Comune;Torino;Torino;Corso Vercelli;CORSO VERCELLI;157;CORSO VERCELLI 157;06/148-A;12720124;Anno specificare;Si;1978;No;1
Comune;Torino;Torino;Corso Toscana;CORSO TOSCANA;88;CORSO TOSCANA 88;05/095;12720096;Anno specificare;Si;1974;No;1
Comune;Torino;Torino;Corso Sicilia;CORSO SICILIA;40;CORSO SICILIA 40;08/185;12720003;Anno specificare;Si;1971;No;1
Comune;Torino;Torino;Corso Svizzera;CORSO SVIZZERA;51/53;CORSO SVIZZERA 51/53;04/076;12720167;Anno specificare;Si;1913;No;1
Comune;Torino;Torino;Corso Sicilia;CORSO SICILIA;24;CORSO SICILIA 24;08/183;12720004;Anno specificare;Si;1971;No;1
Comune;Torino;Torino;Corso Vercelli;CORSO VERCELLI;141/6-8;CORSO VERCELLI 141/6-8;06/148-B;12720299;Anno specificare;Si;1978;No;1
Comune;Torino;Torino;orvieto;ORVIETO;1/5-7-9;ORVIETO 1/5-7-9;05/123;12720310;Anno specificare;Si;2006;No;1
Comune;Torino;Torino;Largo La Loggia;LARGO LA LOGGIA;51;LARGO LA LOGGIA 51;09/195;12720018;Anno specificare;Si;1973;No;1
Comune;Torino;Torino;Corso Svizzera;CORSO SVIZZERA;59/61;CORSO SVIZZERA 59/61;04/089;12720059;Anno specificare;Si;1972;No;1
Comune;Torino;Torino;Strada Bertolla;STRADA BERTOLLA;50;STRADA BERTOLLA 50;06/140;12720078;Anno specificare;Si;1960;No;1
Comune;Torino;Torino;Piazzetta Jona Luciano;PIAZZETTA JONA LUCIANO;4;PIAZZETTA JONA LUCIANO 4;10/215;12720320;Anno specificare;Si;1971;No;1
Comune;Torino;Torino;Piazzetta Jona Luciano;PIAZZETTA JONA LUCIANO;5;PIAZZETTA JONA LUCIANO 5;10/216;12720165;Anno specificare;Si;1971;No;1
Comune;Torino;Torino;Strada Castello Di Mirafiori;STRADA CASTELLO DI MIRAFIORI;45;STRADA CASTELLO DI MIRAFIORI 45;10/211;12720307;Anno specificare;Si;1976;No;1
Comune;Torino;Torino;Piazza Giacomini carlo;PIAZZA GIACOMINI CARLO;24;PIAZZA GIACOMINI CARLO 24;09/210;12720168;Anno specificare;Si;1965;No;1
Comune;Torino;Torino;Piazza Abba Giuseppe Cesare;PIAZZA ABBA GIUSEPPE CESARE;set-13;PIAZZA ABBA GIUSEPPE CESARE 41518;06/135;12720061;2 - nell'Ottocento;Si;;No;1
Comune;Torino;Torino;Via Abeti (Degli);VIA ABETI (DEGLI);13;VIA ABETI (DEGLI) 13;06/123BIS;12720133;Anno specificare;Si;1974;No;1
