"id" "name" "lat" "long" "total_station_size" "average_dist_bus" "bus_stops" "average_dist_school" "num_schools" "num_hosp" "departments" "average_dist_hosp" "num_mall" "average_dist_mall" "numb_shops_mall" "surface_mall" "average_surface" "average_dist_sale" "num_sale" "max_surface_sale" "mean_surface_sale" "min_surface_sale" "tot_surface_sales" "average_dist_open_air_market" "num_open_air_market" "max_days_open" "min_days_open" "mean_days_open" "tot_days_open" "max_total_places" "min_total_places" "mean_total_places" "tot_total_places" "stat_zone" "TOTALE" "Totale.stranieri" "perc_stranieri"
"1" 1 "Adriano" 45.070665 7.65597 12 218.081155806 16 248.2734978 2 NA NA NA NA NA NA NA NA 217.89720887 4 399 360 322 1442 NA NA NA NA NA NA NA NA NA NA "PORTA SUSA - NUOVO TRIBUNALE" 9849 850 0.086303177987613
"2" 2 "Arbarello" 45.07356 7.676585 20 240.291286976 16 151.085733942 6 NA NA NA NA NA NA NA NA 214.106616091 9 691 385 270 3470 313.773437716 1 6 6 6 6 115 115 115 115 "MUNICIPIO" 9777 1716 0.175513961337834
"3" 3 "Arcivescovado" 45.06706 7.678175 15 244.564669223 19 231.361881559 8 NA NA NA NA NA NA NA NA 285.599311378 17 2168 615 298 10467 NA NA NA NA NA NA NA NA NA NA "P.ZZA S. CARLO-P.ZZA CARLO FELICE" 4001 375 0.0937265683579105
"4" 4 "Baretti" 45.057635 7.681255 15 253.377377519 8 325.202087141 1 NA NA NA NA NA NA NA NA 286.701710515 3 400 338 259 1016 235.694373181 1 6 6 6 6 149 149 149 149 "S. SALVARIO - VALENTINO" 11518 2612 0.226775481854489
"5" 5 "Bava" 45.06909 7.70193 17 224.384845874 10 234.857968943 8 NA NA NA NA NA NA NA NA 168.896616941 4 553 388 263 1554 240.491325079 1 6 6 6 6 66 66 66 66 "VANCHIGLIA" 11247 1161 0.103227527340624
"6" 6 "Belfiore" 45.054245 7.678395 15 232.605967152 12 177.904146985 5 NA NA NA NA NA NA NA NA 213.655085704 9 960 497 262 4473 NA NA NA NA NA NA NA NA NA NA "PIAZZA NIZZA" 10732 1552 0.144614237793515
"7" 7 "Belgio 2" 45.07327 7.71714 20 190.613700179 5 NA NA NA NA NA NA NA NA NA NA 77.2153023036 1 590 590 590 590 192.209170152 1 6 6 6 6 40 40 40 40 "VANCHIGLIETTA" 17655 1841 0.104276408949306
"8" 8 "Berlinguer" 45.09965 7.53123 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" 9 "Bernini" 45.076155 7.655555 15 144.320391724 11 181.840885008 6 NA NA NA NA NA NA NA NA 327.908637377 4 439 346 254 1386 NA NA NA NA NA NA NA NA NA NA "CAMPIDOGLIO" 14889 2154 0.144670562159984
"10" 10 "Bertola" 45.06982 7.68231 14 165.832200403 17 70.2605383863 2 NA NA NA NA NA NA NA NA 194.270968351 38 2033 579 284 22014 NA NA NA NA NA NA NA NA NA NA "MUNICIPIO" 9777 1716 0.175513961337834
"11" 11 "Bodoni" 45.06336 7.684215 15 257.457770986 18 NA NA NA NA NA 1 308.847116997 25 8424 8424 261.922751894 24 4878 913 304 21912 NA NA NA NA NA NA NA NA NA NA "BORGO NUOVO" 5019 553 0.110181311018131
"12" 12 "Bologna" 45.082445 7.695695 16 197.932529375 10 268.914061625 8 NA NA NA NA NA NA NA NA 221.01273415 7 910 536 343 3758 NA NA NA NA NA NA NA NA NA NA "ROSSINI" 6410 948 0.14789391575663
"13" 13 "Bolzano" 45.07139 7.66669 16 238.138208957 28 335.99937936 4 NA NA NA NA NA NA NA NA 262.128155783 4 387 317 263 1268 111.971016015 1 6 6 6 6 7 7 7 7 "COMANDI MILITARI" 5157 310 0.0601124684894318
"14" 14 "Borgo" 45.05636 7.58099 10 167.952113097 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" 15 "Borromini" 45.06716 7.70837 15 207.968392446 15 294.385178374 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "PARCO MICHELOTTI-BORGO PO" 5720 449 0.0784965034965035
"16" 16 "Buozzi" 45.12583 7.64219 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" 17 "C. Commerciale I Portici" 45.12418 7.63204 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" 18 "Cairoli" 45.058795 7.690355 18 232.22146311 13 NA NA NA NA NA NA NA NA NA NA 313.543407069 3 1000 563 277 1690 NA NA NA NA NA NA NA NA NA NA "BORGO NUOVO" 5019 553 0.110181311018131
"19" 19 "Carducci" 45.042565 7.6709 19 172.733663623 15 137.905989362 2 1 1 224.988935384 NA NA NA NA NA 181.121946073 5 2950 845 276 4229 NA NA NA NA NA NA NA NA NA NA "MOLINETTE-MILLEFONTI" 15183 3127 0.205954027530791
"20" 20 "Carlo Alberto" 45.068045 7.686665 15 259.748963605 18 251.035343335 10 NA NA NA NA NA NA NA NA 272.314861889 30 2033 596 251 17893 247.089052415 1 6 6 6 6 11 11 11 11 "PALAZZO CARIGNANO" 4184 305 0.0728967495219885
"21" 21 "Carrara" 45.069155 7.720385 18 215.266533473 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 342.453696575 1 6 6 6 6 40 40 40 40 "MADONNA DEL PILONE" 2076 178 0.0857418111753372
"22" 22 "Castelfidardo" 45.068215 7.66238 27 233.398275877 21 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "PORTA SUSA - NUOVO TRIBUNALE" 9849 850 0.086303177987613
"23" 23 "Castello 1" 45.07142 7.688095 16 265.516738337 10 157.081912981 8 NA NA NA NA NA NA NA NA 300.75927703 9 900 404 251 3643 NA NA NA NA NA NA NA NA NA NA "PALAZZO REALE" 125 3 0.024
"24" 24 "Castello 2" 45.070125 7.686495 21 242.484548943 13 35.2467179719 8 NA NA NA NA NA NA NA NA 239.362765049 27 2033 608 251 16420 NA NA NA NA NA NA NA NA NA NA "PALAZZO REALE" 125 3 0.024
"25" 25 "Cernaia" 45.072645 7.67026 14 226.4590258 19 236.517106612 6 NA NA NA NA NA NA NA NA 208.811492089 6 395 313 260 1880 228.416161722 1 6 6 6 6 115 115 115 115 "COMANDI MILITARI" 5157 310 0.0601124684894318
"26" 26 "Certosa / P.le Avis" 45.08412 7.57563 5 204.67906546 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" 27 "Cimitero Monumentale" 45.078835 7.701395 15 185.473276202 9 NA NA NA NA NA NA NA NA NA NA 349.38600226 2 2500 1507 514 3014 NA NA NA NA NA NA NA NA NA NA "CIMITERO GENERALE" 905 203 0.224309392265193
"28" 28 "CLN" 45.06609 7.682205 14 241.157576345 9 NA NA NA NA NA 1 62.6274634107 25 8424 8424 210.162733001 39 4878 666 284 25993 NA NA NA NA NA NA NA NA NA NA "P.ZZA S. CARLO-P.ZZA CARLO FELICE" 4001 375 0.0937265683579105
"29" 29 "Concordia" 45.1169 7.623 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" 30 "Consolata" 45.07579 7.678 15 185.593523294 11 236.739126675 6 NA NA NA NA NA NA NA NA 248.929516775 8 596 398 297 3185 NA NA NA NA NA NA NA NA NA NA "MUNICIPIO" 9777 1716 0.175513961337834
"31" 31 "Corso Garibaldi" 45.1278 7.63579 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" 32 "Corte d`Appello" 45.0744 7.67885 14 223.942920494 12 218.359744255 6 NA NA NA NA NA NA NA NA 176.530044093 7 472 382 297 2677 NA NA NA NA NA NA NA NA NA NA "MUNICIPIO" 9777 1716 0.175513961337834
"33" 33 "Dalla Chiesa / Pastrengo" 45.07764 7.58082 10 127.829470886 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"34" 34 "Dante" 45.04764 7.67267 9 143.036278469 9 225.720938178 2 NA NA NA NA NA NA NA NA 167.184594073 8 980 455 258 3643 NA NA NA NA NA NA NA NA NA NA "CORSO DANTE-PONTE ISABELLA" 14742 1827 0.123931623931624
"35" 35 "De Amicis" 45.046765 7.67303 14 160.815707213 11 265.610564262 4 1 1 322.274958341 NA NA NA NA NA 195.669919241 10 980 435 258 4356 NA NA NA NA NA NA NA NA NA NA "CORSO DANTE-PONTE ISABELLA" 14742 1827 0.123931623931624
"36" 36 "De Gasperi" 45.05709 7.66125 16 273.375534055 10 114.407876806 2 NA NA NA NA NA NA NA NA 190.243317947 5 1200 752 331 3762 NA NA NA NA NA NA NA NA NA NA "CROCETTA" 13191 1276 0.0967326207262527
"37" 37 "Dora Firenze" 45.07945 7.689225 15 229.758101181 17 339.535721077 2 NA NA NA NA NA NA NA NA 226.696379495 2 305 289 273 578 NA NA NA NA NA NA NA NA NA NA "ROSSINI" 6410 948 0.14789391575663
"38" 38 "Dora Siena 1" 45.074885 7.70223 18 266.065793217 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "GASOMETRO" 2314 495 0.213915298184961
"39" 39 "Europa Unita" 45.09064 7.57013 6 208.717995181 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"40" 40 "Fabbrichetta" 45.06751 7.56305 7 145.869576864 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"41" 41 "Fermi" 45.07603 7.59112 19 109.925319896 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"42" 42 "Ferrucci" 45.063845 7.655815 15 254.819079415 14 NA NA NA NA NA NA NA NA NA NA 105.126660382 2 330 297 265 595 NA NA NA NA NA NA NA NA NA NA "PORTA SUSA - NUOVO TRIBUNALE" 9849 850 0.086303177987613
"43" 43 "Filadelfia" 45.0371733333333 7.64884 15 238.068361076 8 NA NA NA NA NA NA NA NA NA NA 314.315224989 1 290 290 290 290 NA NA NA NA NA NA NA NA NA NA "ISTITUTO DI RIPOSO PER LA VECCHIAIA" 18857 1790 0.094924961552739
