id,latitude,longitude,surfacetotal_mall,noofbars,noofrestaurants,nonewsagents,noretailmonop,noofpharma,nooffueldis,year,codestatzone,comune,namemall,address,streetno,nofoodserv_mall,nononfoodserv_mall,nomixedserv_mall,nototalserv_mall,surfacefoodserv_mall,surfacenonfoodserv_mall,surfacemixedserv_mall,numeromediestrutturesettorealime,numeromediestrutturesettorenonal,numeromediestrutturesettoremisto,numerototalemediestrutturenelcen,superficiemediestrutturesettorea,superficiemediestrutturesettoren,superficiemediestrutturesettorem,superficietotalemediestrutturene,numerograndistrutturesettorealim,numerograndistrutturesettorenona,numerograndistrutturesettoremist,numerototalegrandistrutturenelce,superficiegrandistrutturesettore,v28,v29,superficietotalegrandistrutturen,numerototalestrutturesettorealim,numerototalestrutturesettorenona,numerototalestrutturesettoremist,numerototalestrutturedelcentro,superficietotalestrutturesettore,v36,v37,superficietotalestrutturedelcent,city,country,fulladdress
1,45.03164,7.66683,5898,6,6,1,1,0,0,2014," 001272 ","TORINO","8 GALLERY - LINGOTTO","VIA NIZZA","262",3,62,1,66,55,5823,20,0,7,0,7,0,3250,0,3250,0,1,0,1,0,2900,0,2900,3,70,1,74,55,11973,20,12048,"Turin","Italy","VIA NIZZA 262, Turin, Italy"
2,45.103526,7.6463475,3947,0,0,0,0,0,0,2014," 001272 ","TORINO","AREA 12 SHOPPING CENTER","STRADA ALTESSANO","41",0,40,0,40,0,3947,0,0,5,0,5,0,5881,0,5881,0,0,1,1,0,0,4500,4500,0,45,1,46,0,9828,4500,14328,"Turin","Italy","STRADA ALTESSANO 41, Turin, Italy"
3,45.11968,7.71397,1919,3,2,1,1,0,0,2014," 001272 ","TORINO","AUCHAN","CORSO ROMANIA","460",2,25,2,29,72,1753,94,0,2,0,2,0,1226,0,1226,0,0,1,1,0,0,8990,8990,2,27,3,32,72,2979,9084,12135,"Turin","Italy","CORSO ROMANIA 460, Turin, Italy"
4,45.06588,7.6313,262,1,,,0,0,0,2014," 001272 ","TORINO","CARREFOUR","CORSO MONTE CUCCO","108",1,7,0,8,15,247,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7790,7790,1,7,1,9,15,247,7790,8052,"Turin","Italy","CORSO MONTE CUCCO 108, Turin, Italy"
5,45.06246,7.6788,1535,5,1,4,2,1,0,2014," 001272 ","TORINO","CENTRO COMMERCIALE PORTA NUOVA","CORSO VITTORIO EMANUELE II","53",1,19,4,24,20,1435,80,0,0,1,1,0,0,900,900,0,0,0,0,0,0,0,0,1,19,5,25,20,1435,980,2435,"Turin","Italy","CORSO VITTORIO EMANUELE II 53, Turin, Italy"
6,45.130991,7.7106671,652,1,,,1,1,0,2014," 001272 ","TORINO","CEVEDA","VIA DEGLI ABETI","10",5,6,0,11,279,373,0,0,0,1,1,0,0,410,410,0,0,0,0,0,0,0,0,5,6,1,12,279,373,410,1062,"Turin","Italy","VIA DEGLI ABETI 10, Turin, Italy"
7,45.094709,7.6334447,460,0,3,1,0,1,0,2014," 001272 ","TORINO","E27","CORSO REGINA MARGHERITA","440",0,4,0,4,0,460,0,0,0,1,1,0,0,612,612,0,0,0,0,0,0,0,0,0,4,1,5,0,460,612,1072,"Turin","Italy","CORSO REGINA MARGHERITA 440, Turin, Italy"
8,45.066,7.68299,1746,1,1,0,0,0,0,2014," 001272 ","TORINO","LAGRANGE","VIA G.L. LAGRANGE","15",1,22,0,23,48,1698,0,0,1,0,1,0,1800,0,1800,0,1,0,1,0,4878,0,4878,1,24,0,25,48,8376,0,8424,"Turin","Italy","VIA G.L. LAGRANGE 15, Turin, Italy"
9,45.03618,7.65832,719,1,0,0,0,0,0,2014," 001272 ","TORINO","MILLECITY CENTER -GALLERIE COMMERCIALI BENNET","VIA GIORDANO BRUNO","142",1,9,1,11,1,676,42,0,1,0,1,0,844,0,844,0,0,1,1,0,0,4500,4500,1,10,2,13,1,1520,4542,6063,"Turin","Italy","VIA GIORDANO BRUNO 142, Turin, Italy"
10,45.08755,7.66928,1948,4,3,3,1,0,0,2014," 001272 ","TORINO","PARCO DORA","VIA LIVORNO","51",3,23,0,26,320,1628,0,0,10,0,10,0,7460,0,7460,0,0,1,1,0,0,6000,6000,3,33,1,37,320,9088,6000,15408,"Turin","Italy","VIA LIVORNO 51, Turin, Italy"
11,45.09037,7.6743,1814,4,2,1,0,0,0,2014," 001272 ","TORINO","SNOS GALLERY CENTER","CORSO MORTARA","24",0,21,2,23,0,1694,120,0,2,2,4,0,2900,4057,6957,0,0,0,0,0,0,0,0,0,23,4,27,0,4594,4177,8771,"Turin","Italy","CORSO MORTARA 24, Turin, Italy"
