"Anno","Provincia","Comune","Grado Scolastico","Conta","Num. Tot Sezioni","Num Tot Maschi","Num Tot Femmine","Totale","Conta","Tot Classi","Tot Iscr. F","Tot Iscr. M","Tot Iscr. T","Conta","Tot Iscr. Classi","Tot Iscr. F","Tot Iscr. M","Tot Iscr.","Conta","Tot Iscr. Classi","Tot Iscr. F","Tot Iscr. M","Tot Iscr."
"2010-2011","ALESSANDRIA","ACQUI TERME","1 - Scuola dell'infanzia","5","19","247","257","504","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","ACQUI TERME","2 - Scuola primaria","0","","","","","4","43","400","433","833","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","ACQUI TERME","3 - Scuola secondaria di I grado","0","","","","","0","","","","","3","30","351","363","714","0","","","",""
"2010-2011","ALESSANDRIA","ACQUI TERME","4 - Scuola secondaria di II grado","0","","","","","0","","","","","0","","","","","11","77","876","840","1716"
"2010-2011","ALESSANDRIA","ALESSANDRIA","1 - Scuola dell'infanzia","34","95","1271","1133","2404","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","ALESSANDRIA","2 - Scuola primaria","0","","","","","24","195","1931","1946","3877","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","ALESSANDRIA","3 - Scuola secondaria di I grado","0","","","","","0","","","","","10","110","1180","1327","2507","0","","","",""
"2010-2011","ALESSANDRIA","ALESSANDRIA","4 - Scuola secondaria di II grado","0","","","","","0","","","","","0","","","","","15","199","2229","2272","4501"
"2010-2011","ALESSANDRIA","ALFIANO NATTA","2 - Scuola primaria","0","","","","","1","4","5","10","15","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","ALLUVIONI CAMBIO'","1 - Scuola dell'infanzia","1","2","25","21","46","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","ALLUVIONI CAMBIO'","2 - Scuola primaria","0","","","","","1","5","8","11","19","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","ALTAVILLA MONFERRATO","1 - Scuola dell'infanzia","1","1","14","14","28","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","ARQUATA SCRIVIA","1 - Scuola dell'infanzia","2","8","88","93","181","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","ARQUATA SCRIVIA","2 - Scuola primaria","0","","","","","1","12","105","137","242","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","ARQUATA SCRIVIA","3 - Scuola secondaria di I grado","0","","","","","0","","","","","1","9","82","90","172","0","","","",""
"2010-2011","ALESSANDRIA","BALZOLA","1 - Scuola dell'infanzia","1","2","20","20","40","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","BALZOLA","2 - Scuola primaria","0","","","","","1","5","23","33","56","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","BASALUZZO","1 - Scuola dell'infanzia","1","3","34","33","67","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","BASALUZZO","2 - Scuola primaria","0","","","","","1","5","31","34","65","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","BASALUZZO","3 - Scuola secondaria di I grado","0","","","","","0","","","","","1","3","13","32","45","0","","","",""
"2010-2011","ALESSANDRIA","BASSIGNANA","1 - Scuola dell'infanzia","1","2","25","19","44","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","BASSIGNANA","2 - Scuola primaria","0","","","","","1","5","38","31","69","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","BERGAMASCO","1 - Scuola dell'infanzia","1","1","14","12","26","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","BERGAMASCO","2 - Scuola primaria","0","","","","","1","5","21","25","46","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","BISTAGNO","1 - Scuola dell'infanzia","1","2","33","25","58","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","BISTAGNO","2 - Scuola primaria","0","","","","","1","5","50","46","96","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","BISTAGNO","3 - Scuola secondaria di I grado","0","","","","","0","","","","","1","6","50","50","100","0","","","",""
"2010-2011","ALESSANDRIA","BORGHETTO DI BORBERA","1 - Scuola dell'infanzia","1","2","20","17","37","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","BORGHETTO DI BORBERA","2 - Scuola primaria","0","","","","","1","5","25","28","53","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","BORGORATTO ALESSANDRINO","2 - Scuola primaria","0","","","","","1","5","37","34","71","0","","","","","0","","","",""
