WKT_GEOM;ID_PISTA;BIDI;CIRCOSCRIZ;DATA_ESECU;DATA_ORDIN;DATA_RILIE;DENOMINAZI;DIREZIONE;DIREZIONE_;LOCALIZZAZ;LUNG_M;MONO;N_ORDINANZ;N_PROTOCOL;PUMS;RIFER_PIAN;RILIEVO_TR;SEGNALETIC;SEMAFORO;SEZIONE_M;STATO_CONS;TRACCIATO
LINESTRING (1398723.585836 4997016.001948,1398916.79114 4997092.377592,1398919.349389 4997102.841153,1399188.434321 4997209.565555,1399251.103688 4997231.545427,1399301.450037 4997248.394054,1399307.812593 4997246.547179,1399329.728107 4997257.286585);56;X;6;;;;CORSO ROMANIA;B;Bidirezionale;LATO SUD DEL CORSO;659;;4450;506;;;;;;3;;INTERZEZIONE VERCELLI/ROMANIA/RACC.TO-MI A4 - CORSO ROMANIA CIV.546
LINESTRING (1396080.696087 4991673.38277,1396196.447503 4991881.583118);172;X;1;;;;VIA SAN FRANCESCO D'ASSISI;B;Bidirezionale;LATO EST CARREGGIATA;238;;2673;287 P;;;;X;X;3;;DA VIA BERTOLA A VIA GARIBALDI
LINESTRING (1397357.473051 4991899.892152,1397374.506538 4991934.792676);171;X;7;;;;VIA BORRELLI;B;Bidirezionale;TORINO EST;39;;0;;;;;;;3;;DA CORSO REGINA MARGHERITA A LUNGO DORA SIENA
LINESTRING (1392255.590619 4993400.674519,1392304.150031 4993452.232483);169;X;4;;;;PASSERELLA PELLERINA;B;Bidirezionale;SULLA PASSERELLA;71;;7069;557 P;;;;;;3;;COLLEGAMENTO C.SO APPIO C. CON PARCP M. CARRARA
LINESTRING (1392093.508851 4990575.364268,1392076.757658 4990580.730856,1392051.287695 4990571.765632,1392049.828201 4990571.328294,1392031.224086 4990575.976967,1392021.368317 4990604.311514,1391997.978605 4990670.683897,1391943.74283 4990825.750242,1391937.219136 4990843.137793,1391877.056198 4991013.390937,1391865.91311 4991037.752806,1391862.911584 4991050.811571,1391863.970949 4991056.105671,1391866.795906 4991061.752675,1391865.91311 4991067.223261,1391859.027261 4991085.223153,1391851.764608 4991087.989894,1391848.233427 4991093.636932,1391818.218101 4991180.812962,1391779.156109 4991290.383702,1391765.006987 4991332.839239,1391745.761889 4991386.13311,1391707.227692 4991495.705745,1391672.938452 4991590.43263,1391666.739334 4991605.707413,1391665.503398 4991615.060314,1391656.674091 4991651.132989,1391649.258531 4991682.368132,1391639.547725 4991736.191358,1391632.834446 4991819.608762,1391633.375425 4991825.680869,1391636.730093 4991831.857331,1391638.848768 4991836.798493,1391640.614415 4991865.915976,1391641.209 4991870.717,1391644.948349 4991888.871954,1391650.12634 4991945.476602,1391660.158579 4992009.844191,1391673.750695 4992065.80193,1391700.009003 4992141.026912,1391701.950721 4992145.878746,1391719.426273 4992135.851641,1391724.927868 4992134.557824,1391741.756212 4992137.792368,1391760.202622 4992166.903337,1391765.084265 4992179.926983,1391765.407916 4992216.477422,1391752.786658 4992218.418148,1391723.731648 4992217.31343);36;X;3;;20061130000000;;CORSO BRUNELLESCHI;B;Bidirezionale;BANCHINA CENTRALE DEL CORSO;1886;;420;42 P;;15-V;;;;3;;DA CORSO FRANCIA A CORSO MONTE CUCCO
LINESTRING (1391655.285172 4992202.25196,1391702.152204 4992204.614324,1391705.580752 4992215.902403,1391723.731648 4992217.31343);46;X;4;;20061130000000;;CORSO FRANCIA;B;Bidirezionale;LATO NORD BANCHINA NORD;77;;468;60 P;;31-V;;;;3;;DA CORSO TELESIO PER UN TRATTO 25 mt.
LINESTRING (1392320.597709 4993361.046905,1392313.953023 4993341.518782,1392306.301585 4993344.337288,1392285.159369 4993337.895019,1392276.435792 4993330.248026,1392216.18585 4993198.759817,1392183.163745 4993199.363761,1392135.77841 4993093.434705,1392120.300447 4993056.980901,1392113.360849 4993041.636778,1392107.557183 4993038.897573,1392103.204448 4993035.191606,1392093.346256 4993018.383865,1391969.158031 4992746.875161,1391960.926607 4992726.590737,1391891.671705 4992578.71097,1391886.634097 4992561.968364,1391887.020084 4992547.130471,1391840.16539 4992444.90422,1391835.652141 4992437.735149,1391828.708769 4992429.474318,1391823.631442 4992417.874933,1391810.808175 4992391.020925,1391807.100874 4992388.040512,1391802.330545 4992383.654069,1391797.494973 4992377.612703,1391778.70533 4992336.483587,1391778.141195 4992330.603302,1391773.54738 4992321.339901,1391763.217339 4992299.364023,1391739.993831 4992247.759435,1391734.916503 4992243.812432,1391723.5529 4992220.694133,1391723.731648 4992217.31343);47;X;4;;20061130000000;;CORSO TELESIO;B;Bidirezionale;BANCHINA CENTRALE LATO OVEST;1331;;467;59 P;;;;;;3;;DA CORSO FRANCIA A CORSO APPIO CLAUDIO
LINESTRING (1392110.329587 4989172.678747,1392077.390077 4989175.971017,1392076.292053 4989163.167797,1392068.606165 4989163.533624,1392065.678225 4989168.654891,1392031.274744 4989171.581335);168;X;2;;;;VIA GIACOMO BALLA;B;Bidirezionale;MARCIAPIEDE NORD DEL TRATTO;94;;4599;519 P;;;;;;3;;DA VIA GUIDO RENI VERSO OVEST PER 50 METRI
LINESTRING (1394522.035605 4989274.523706,1394537.970409 4989261.270378,1394597.184254 4989334.283123,1394627.786589 4989370.819795,1394644.112262 4989363.876331,1394651.754095 4989371.166951,1394665.474598 4989382.450058,1394677.458381 4989416.646569,1394680.959383 4989426.492602,1394684.432944 4989429.617159,1394692.943167 4989428.228458,1394697.458734 4989436.387008,1394706.316313 4989447.149379,1394694.506269 4989450.621092,1394697.979768 4989456.52305,1394754.293769 4989524.825732,1394759.851465 4989529.512567,1394761.067211 4989531.248424,1394774.440358 4989527.77671,1394781.908513 4989523.784225,1394795.107981 4989547.565559,1394793.371201 4989552.946708,1394797.926834 4989558.753317,1394839.783115 4989609.614084,1394834.225418 4989617.599054,1394831.099214 4989618.814176,1394897.495443 4989699.962721,1394937.177516 4989749.046841,1394947.771875 4989739.67317,1394966.722111 4989763.660774,1394957.690854 4989772.166479,1394971.237739 4989789.525121,1395043.007803 4989877.276858,1395056.591704 4989893.334012,1395093.932357 4989940.375909,1395103.692049 4989955.408343,1395121.754502 4989990.81994,1395127.659555 4990001.75589,1395158.431299 4990060.381074,1395164.51003 4990071.66418,1395202.241519 4990144.490722,1395208.320189 4990154.037971,1395212.662139 4990155.773828,1395216.309378 4990156.641793,1395220.47765 4990156.815372,1395227.598388 4990154.9059,1395234.719187 4990148.309629,1395247.223943 4990159.939929,1395253.302674 4990170.528685,1395255.734166 4990181.985369,1395254.344742 4990198.302504,1395250.688112 4990208.624837,1395244.088347 4990214.873951,1395240.441109 4990217.651351,1395304.933954 4990339.469978,1395331.215377 4990390.46611,1395335.557328 4990392.896317,1395336.946752 4990396.194452,1395336.599396 4990399.839744,1395360.740519 4990445.492977,1395368.764285 4990461.896367,1395407.890747 4990536.660912,1395412.753732 4990545.861004,1395425.258488 4990569.642339,1395428.384692 4990570.163074,1395430.121473 4990574.155559,1395429.253083 4990576.932959,1395454.78369 4990625.189941,1395459.323712 4990633.96866,1395500.017362 4990710.434088,1395480.08537 4990720.477296);164;;1;;;;CORSO RE UMBERTO;M;Monodirezionale;BANCHINA EST DEL CORSO DIREZIONE DA SUD VERSO NORD;1929;X;0;;;;;;;2;;DA PIAZZALE COSTANTINO IL GRANDE A CORSO MATTEOTTI
LINESTRING (1392944.726679 4987294.955334,1392954.756575 4987313.690925,1392992.94419 4987386.295222,1393024.435766 4987447.390712,1393055.179631 4987505.350378,1393063.773739 4987522.275554,1393111.707188 4987612.95773,1393147.416665 4987682.529433);165;;2;;;;CORSO AGNELLI;M;Monodirezionale;MARCIAPIEDE EST DEL CORSO;437;X;4111;673 P;;;;;;2;;DA CORSO TAZZOLI DA CORSO COSENZA
