"Anno";"Provincia";"CodiceIstatComune";"Comune";"DenominazioneEsercizio";"Indirizzo";"Tipologia";"SettoreMerceologico";"SuperficieDiVenditaMq";"InseritoInCC";"NuovaApertura";"Cessazione";"AmpliamentoRiduzione";"Volturazione";""
"2014";"Alessandria";"6001";"ACQUI TERME";"MOBILIFICIO ACCUSANI snc di ACCUSANI LOREDANA e NICOLETTA";"VIA CASSAROGNA 46";"M";"Non alimentare";"360";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6001";"ACQUI TERME";"ALLA BABILONIA SRL";"CORSO ITALIA 75";"M";"Non alimentare";"300";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6001";"ACQUI TERME";"BENNET SPA";"STRADALE SAVONA 90";"G";"Misto";"3890";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6001";"ACQUI TERME";"BOTTO ADRIANA";"CORSO ROMA 29";"M";"Non alimentare";"280";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6001";"ACQUI TERME";"ACQUIFER SRL";"VIA SOTTARGINE s.n.";"M";"Non alimentare";"400";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6001";"ACQUI TERME";"CENTRO SCARPE DI RAVERA SILVANA e C. SNC";"VIA CASAGRANDE 75";"M";"Non alimentare";"360";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6001";"ACQUI TERME";"ELETTROGRUPPO ZEROUNO spa";"VIA ALBERTO DA GIUSSANO 56";"M";"Non alimentare";"600";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6001";"ACQUI TERME";"BILLA AKTIENGESELLSCHAFT";"STRADALE SAVONA 44";"M";"Misto";"814";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6003";"ALESSANDRIA";"ASTUTI G. B. S.N.C.";"VIA VOCHIERI 44";"M";"Non alimentare";"410";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6003";"ALESSANDRIA";"FACIT MERCATO DELLA CONFEZIONE S.P.A.";"C.SO TERESIO BORSALINO 38";"M";"Non alimentare";"1490";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6003";"ALESSANDRIA";"ITALIANA DISTRIBUZIONE S.R.L.";"PIAZZA MARCONI 7";"M";"Non alimentare";"320";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6003";"ALESSANDRIA";"GARDENVILLE S.N.C.";"VIA GENOVA - SPINETTA MARENGO SNC";"M";"Non alimentare";"1765";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6003";"ALESSANDRIA";"BEST ONE SNC";"VIA GALIMBERTI 25";"M";"Non alimentare";"1360";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6003";"ALESSANDRIA";"SELFITALIA SRL";"VIA GIORDANO BRUNO 69/B";"G";"Non alimentare";"4500";"SI";"0";"0";"0";"0";""
"2014";"Alessandria";"6001";"ACQUI TERME";"EDILPUNTO SRL";"PIAZZA SAN GUIDO 23";"M";"Non alimentare";"318";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6001";"ACQUI TERME";"MILLE IDEE DI TOSCANO NICOLE & C. SAS";"VIA CASSAROGNA 21";"M";"Non alimentare";"600";"SI";"0";"0";"0";"0";""
"2014";"Alessandria";"6003";"ALESSANDRIA";"ANFOSSI S.R.L";"VIA G. MIGLIARA 19";"M";"Non alimentare";"513";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6003";"ALESSANDRIA";"SIRIO LIBRI S.R.L.";"VIA MILANO 32";"M";"Non alimentare";"270";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6003";"ALESSANDRIA";"C.D.C. S.R.L.";"VIA FILZI SNC";"M";"Non alimentare";"631";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6003";"ALESSANDRIA";"WORLD'S KIDS ITALIA S.R.L.";"VIA MARENGO 144";"M";"Non alimentare";"1016";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6003";"ALESSANDRIA";"DPS GROUP SRL";"CORSO ROMITA - LOCALITA' CHIOZZO SNC";"M";"Non alimentare";"2000";"SI";"0";"0";"0";"0";""
"2014";"Alessandria";"6003";"ALESSANDRIA";"PAM PANORAMA SPA";"CORSO ROMITA - LOCALITA' CHIOZZO SNC";"G";"Misto";"4500";"SI";"0";"0";"0";"0";""
"2014";"Alessandria";"6003";"ALESSANDRIA";"SELFITALIA SRL";"VIA GIORDANO BRUNO 69/B";"M";"Non alimentare";"337";"SI";"0";"0";"0";"0";""
"2014";"Alessandria";"6005";"ALICE BEL COLLE";"BRUSCO VINCENZO";"REG. STAZIONE 44";"M";"Alimentare";"200";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6009";"ARQUATA SCRIVIA";"PARODI EMANUELA MARIA";"VIA LIBARNA 140";"M";"Non alimentare";"163";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6001";"ACQUI TERME";"O.C.M.A. DI NARDACCHIONE E SIMILELE SNC";"REGIONE CASSAROGNA 102";"M";"Non alimentare";"500";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6001";"ACQUI TERME";"CAMPARO AUTO srl";"STRADALE ALESSANDRIA 136";"M";"Non alimentare";"900";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6001";"ACQUI TERME";"GIACOBBE MARCO e C. SNC";"CORSO DANTE 44";"M";"Misto";"400";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6003";"ALESSANDRIA";"EDILITALIA S.N.C.";"S.DA CERCA - V.S. BARTOLOMEO 9";"M";"Non alimentare";"300";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6003";"ALESSANDRIA";"NOVA COOP A.R.L.";"C/O CENTRO COMMERCIALE GLI ARCHI - VIA SCLAVO 15";"G";"Misto";"2700";"SI";"0";"0";"0";"0";""
"2014";"Alessandria";"6003";"ALESSANDRIA";"CARLA TAVERNA e C. S.A.S.";"VIA DEI MARTIRI 45";"M";"Non alimentare";"280";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6003";"ALESSANDRIA";"BASKO SPA";"VIA CAVOUR - ANGOLO VIA FAA' DI BRUNO SNC";"M";"Misto";"399";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6003";"ALESSANDRIA";"CONBIPEL SPA";"CORSO ROMITA LOC. CHIOZZO";"M";"Non alimentare";"306";"SI";"0";"0";"0";"0";""
"2014";"Alessandria";"6003";"ALESSANDRIA";"VITTORIA STORE SAS";"PIAZZA PEROSI 1";"M";"Non alimentare";"370";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6009";"ARQUATA SCRIVIA";"VECCHIA FATTORIA STORE S.R.L.";"LOC. LE VAIE";"M";"Non alimentare";"340";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6012";"BASALUZZO";"F.LLI BRUNO SNC";"VIA NOVI 91F";"M";"Non alimentare";"254";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6012";"BASALUZZO";"ELETTROCASA DI BRANDA ANGELO E C. SAS";"VIA NOVI 70A";"M";"Non alimentare";"361";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6012";"BASALUZZO";"NUOVA ISOLCASA SRL";"VIA VECCHI NOVI 13B";"M";"Non alimentare";"378";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6001";"ACQUI TERME";"PANIATE DI PANIATE LUCIANO & C. S.N.C.";"VIA MORIONDO 68";"M";"Misto";"770";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6003";"ALESSANDRIA";"LIDL ITALIA S.R.L..";"VIA GALIMBERTI 25";"M";"Misto";"1480";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6003";"ALESSANDRIA";"CASA DELLA POLTRONA S.N.C.";"VIA S. GIOVANNI BOSCO 8";"M";"Non alimentare";"1200";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6003";"ALESSANDRIA";"GIOVANNI FERRARI S.N.C.";"VIA DEI MARTIRI 30";"M";"Non alimentare";"258";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6003";"ALESSANDRIA";"UNES MAXI S.R.L.";"VIA F. FILZI 25";"M";"Misto";"1210";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6003";"ALESSANDRIA";"MARKETING TREND SPA";"VIA CASALBAGLIANO SNC";"M";"Non alimentare";"1800";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6003";"ALESSANDRIA";"CASA PIOCHEUR ITALY SRL";"VIALE MASSOBRIO 20";"M";"Non alimentare";"600";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6003";"ALESSANDRIA";"IN'S MERCATO SPA";"DEVIAZIONE STATALE DIECI  - SPINETTA MARENGO 37";"M";"Misto";"557";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6003";"ALESSANDRIA";"UNES MAXI S.R.L.";"CORSO CAVALLOTTI";"M";"Misto";"800";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6003";"ALESSANDRIA";"TOKI MODA SAS";"PIAZZA GARIBALDI 11";"M";"Non alimentare";"320";"NO";"1";"0";"0";"0";""
"2014";"Alessandria";"6005";"ALICE BEL COLLE";"OTTAZZI STEFANO E LORENZO SNC";"REG. S. CATERINA 7";"M";"Alimentare";"600";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6001";"ACQUI TERME";"ALGERI MARCO";"VIA DE GASPERI 19";"M";"Non alimentare";"300";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6003";"ALESSANDRIA";"MELCHIONNI GROUP S.P.A.";"VIA MIGLIARA 17";"G";"Non alimentare";"3000";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6003";"ALESSANDRIA";"WU YIXUE";"VIA TORINO - SAN MICHELE 26";"M";"Non alimentare";"1198";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6003";"ALESSANDRIA";"UNES MAXI S.R.L.";"VIA CHENNA 21";"M";"Misto";"398";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6003";"ALESSANDRIA";"TEDDY SPA";"CORSO ROMA 17";"M";"Non alimentare";"542";"NO";"1";"0";"0";"0";""
"2014";"Alessandria";"6001";"ACQUI TERME";"POZZOLI SPA";"REGIONE CASSAROGNA 69";"M";"Non alimentare";"340";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6001";"ACQUI TERME";"MAXI DI' SRL";"VIA IV NOVEMBRE 22";"M";"Misto";"2500";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6003";"ALESSANDRIA";"CENTRO CALZATURIERO S.R.L.";"VIA TORINO - S. MICHELE 12";"M";"Non alimentare";"1490";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6003";"ALESSANDRIA";"FUTURA S.R.L.";"VIA DELL'ARTIGIANATO 20";"M";"Non alimentare";"300";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6003";"ALESSANDRIA";"T.E.I.C.O. S.R.L.";"VIA ISONZO 35";"M";"Non alimentare";"600";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6003";"ALESSANDRIA";"ALFI S.R.L.";"VIA DANTE 121";"M";"Misto";"500";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6003";"ALESSANDRIA";"LIDL ITALIA SRL";"VIA SAN GIOVANNI BOSCO SNC";"M";"Misto";"1012";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6003";"ALESSANDRIA";"MILLE IDEE DI TOSCANO NICOLA E C SAS";"VIA A. VOCHIERI SNC";"M";"Non alimentare";"366";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6003";"ALESSANDRIA";"MAGAZZINI MONTELLO SPA";"VIA SCLAVO 15";"M";"Non alimentare";"388";"SI";"0";"0";"0";"0";""
"2014";"Alessandria";"6001";"ACQUI TERME";"LA PREALPINA DIVISIONE COMMERCIO SPA";"STRADALE SAVONA 44";"M";"Non alimentare";"886";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6001";"ACQUI TERME";"SISCOM DI BASSO MARIA CARLA E C. SAS";"VIA ALBERTO DA GIUSSANO 16";"M";"Misto";"590";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6001";"ACQUI TERME";"ALFI SRL";"VIA CASSAROGNA 21";"M";"Misto";"1470";"SI";"0";"0";"0";"0";""
"2014";"Alessandria";"6003";"ALESSANDRIA";"ANFOSSI. S.R.L.";"VIA SAN LORENZO 27";"M";"Non alimentare";"432";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6003";"ALESSANDRIA";"PEROSO S.N.C.";"VIA GENOVA - SPINETTA M.GO 196";"M";"Non alimentare";"400";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6003";"ALESSANDRIA";"DOCTOR COLOR SRL";"V.LE TIVOLI 24";"M";"Non alimentare";"350";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6003";"ALESSANDRIA";"VENETA ARREDI S.R.L.";"C.SO C. MARX 149";"M";"Non alimentare";"300";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6003";"ALESSANDRIA";"COMPAR SPA";"CORSO ROMITA - LOCALITA' CHIOZZO SNC";"M";"Non alimentare";"292";"SI";"0";"0";"0";"0";""
"2014";"Alessandria";"6003";"ALESSANDRIA";"DEICHMANN CALZATURE SRL";"VIA TORINO 26";"M";"Non alimentare";"500";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6003";"ALESSANDRIA";"UNES MAXI SPA";"PIAZZA DE ANDRE' 12";"M";"Misto";"1500";"NO";"0";"0";"0";"1";""
"2014";"Alessandria";"6008";"ALZANO SCRIVIA";"CENTRO MODA SRL";"STRADA PROVINCIALE CASTELNUOVO";"G";"Non alimentare";"1540";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6009";"ARQUATA SCRIVIA";"R.S. DI SALIMBENE PIERLUIGI & C. S.A.S.";"VIA ANTICA VARINELLA 8";"M";"Non alimentare";"250";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6012";"BASALUZZO";"BOCCHIO SRL";"VIA NOVI 70H";"M";"Non alimentare";"285";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6001";"ACQUI TERME";"UNES MAXI SRL";"CORSO BAGNI 83";"M";"Misto";"800";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6001";"ACQUI TERME";"ALFI SRL";"VIA FLEMING 44";"M";"Misto";"650";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6003";"ALESSANDRIA";"IN'S MERCATO S.P.A.";"CORSO C. MARX 74";"M";"Misto";"613";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6003";"ALESSANDRIA";"CVG MAX SRL";"SPALTO MARENGO 44";"M";"Non alimentare";"310";"SI";"0";"0";"0";"0";""
"2014";"Alessandria";"6012";"BASALUZZO";"G. e V. SRL";"VIA NOVI 32A";"M";"Non alimentare";"690";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6001";"ACQUI TERME";"MARK SNC DI POGGIO GIOVANNI & POGGIO MARCO";"VIA BOVE 9";"M";"Non alimentare";"270";"NO";"0";"0";"0";"0";""
"2014";"Alessandria";"6003";"ALESSANDRIA";"DIMO S.P.A.";"VIA MARENGO 64";"M";"Non alimentare";"1700";"NO";"0";"0";"0";"0";""
