"Anno";"CodiceIstat";"DenominazioneComune";"LocalitDiSvolgimento";"Tipologia";"GiorniDiMercato";"Cadenza";"Periodicit";"PosteggiOccupatialimentarieNonAlimentari";"PosteggiOccupatialimentari";"PosteggiOccupatinonAlimentari";"PosteggiOccupatiproduttoriagricoli";"TotalePosteggioccupati";"PosteggiLiberialimentarieNonAlimentari";"PosteggiLiberialimentari";"PosteggiLiberinonAlimentari";"PosteggiLiberiproduttoriagricoli";"TotalePosteggiliberi";"TotalePosteggi";"Prov";""
"2014";" 001001 ";"AGLIE'";"PIAZZA CASTELLO AGLIE'";"Mercato";"mer.";"Settimanale";"Annuale";"0";"7";"11";"1";"19";"0";"0";"2";"0";"2";"21";"Torino";""
"2014";" 001004 ";"ALBIANO D'IVREA";"PIAZZA MERCATO";"Mercato";"gio.";"Settimanale";"Annuale";"0";"2";"2";"0";"4";"1";"0";"0";"1";"2";"6";"Torino";""
"2014";" 001006 ";"ALMESE";"VIA DEI NAVILI";"Mercato";"mar.";"Settimanale";"Annuale";"0";"49";"35";"6";"90";"0";"0";"0";"0";"0";"90";"Torino";""
"2014";" 001002 ";"AIRASCA";"PIAZZA SAN BARTOLOMEO";"Mercato";"mer.";"Settimanale";"Annuale";"28";"0";"0";"1";"29";"5";"0";"0";"0";"5";"34";"Torino";""
"2014";" 001003 ";"ALA DI STURA";"PIAZZA CENTRALE (SETT-GIU); PARCHEGGIO VIA CERES (LUG-AGO)";"Mercato";"gio.";"Settimanale";"Annuale";"0";"8";"21";"0";"29";"0";"0";"0";"0";"0";"29";"Torino";""
"2014";" 001018 ";"BALDISSERO TORINESE";"VIA TORINO FRAZIONE RIVO DORA";"Posteggio isolato";"mer.";"Settimanale";"Annuale";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"Torino";""
"2014";" 001008 ";"ALPIGNANO";"piazza Berlinguer";"Mercato";"mer.";"Settimanale";"Annuale";"0";"7";"4";"0";"11";"0";"5";"10";"2";"17";"28";"Torino";""
"2014";" 001015 ";"BAIRO";"PIAZZA COMUNALE";"Mercato";"mer.";"Settimanale";"Annuale";"0";"2";"2";"0";"4";"0";"1";"1";"0";"2";"6";"Torino";""
"2014";" 001020 ";"BANCHETTE";"VIA CASTELLAMONTE";"Mercato";"mer.";"Settimanale";"Annuale";"0";"4";"3";"2";"9";"0";"7";"5";"0";"12";"21";"Torino";""
"2014";" 001013 ";"AVIGLIANA";"PIAZZA DEL POPOLO";"Mercato";"dom.";"Quindicinale";"Annuale";"0";"0";"1";"0";"1";"0";"0";"24";"8";"32";"33";"Torino";""
"2014";" 001013 ";"AVIGLIANA";"VIA CAVALIERI DI VITTORIO VENETO ANG. VIA ALLIAUD";"Posteggio isolato";"lun. mar. mer. gio. ven. sab. dom.";"Settimanale";"Annuale";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"Torino";""
"2014";" 001008 ";"ALPIGNANO";"Piazza 8 Marzo";"Mercato";"sab.";"Settimanale";"Annuale";"0";"21";"48";"4";"73";"0";"4";"15";"4";"23";"96";"Torino";""
"2014";" 001013 ";"AVIGLIANA";"VIA DON BALBIANO-FRONTE CIMITERO";"Posteggio isolato";"lun. mar. mer. gio. ven. sab. dom.";"Settimanale";"Annuale";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"Torino";""
"2014";" 001014 ";"AZEGLIO";"PIAZZA MASSIMO D'AZEGLIO";"Mercato";"mar.";"Settimanale";"Annuale";"0";"2";"1";"0";"3";"0";"0";"0";"0";"0";"3";"Torino";""
"2014";" 001013 ";"AVIGLIANA";"PRESSI CIMITERO";"Posteggio isolato";"lun. mar. mer. gio. ven. sab. dom.";"Settimanale";"Annuale";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"Torino";""
"2014";" 001013 ";"AVIGLIANA";"PIAZZA DEL POPOLO";"Mercato";"gio.";"Settimanale";"Annuale";"8";"17";"60";"3";"88";"0";"1";"4";"5";"10";"98";"Torino";""
"2014";" 001007 ";"ALPETTE";"PIAZZA FORNO";"Mercato";"mar.";"Settimanale";"Annuale";"0";"0";"0";"0";"0";"8";"0";"0";"0";"8";"8";"Torino";""
"2014";" 001016 ";"BALANGERO";"PIAZZA SANDRO PERTINI";"Mercato";"mer.";"Settimanale";"Annuale";"5";"10";"0";"4";"19";"7";"2";"0";"4";"13";"32";"Torino";""
"2014";" 001019 ";"BALME";"Via capoluogo";"Mercato";"ven.";"Settimanale";"Stagionale";"0";"0";"0";"0";"0";"5";"0";"5";"0";"10";"10";"Torino";""
"2014";" 001009 ";"ANDEZENO";"PIAZZA ITALIA";"Mercato";"sab.";"Settimanale";"Annuale";"0";"7";"5";"0";"12";"0";"0";"0";"0";"0";"12";"Torino";""
"2014";" 001013 ";"AVIGLIANA";"PRESSI CIMITERO";"Posteggio isolato";"lun. mar. mer. gio. ven. sab. dom.";"Settimanale";"Annuale";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"Torino";""
"2014";" 001018 ";"BALDISSERO TORINESE";"PIAZZA IV NOVEMBRE";"Mercato";"mer.";"Settimanale";"Annuale";"0";"1";"0";"0";"1";"2";"0";"0";"0";"2";"3";"Torino";""
"2014";" 001008 ";"ALPIGNANO";"Via Rivera";"Posteggio isolato";"lun. mar. mer. gio. ven. sab. dom.";"Settimanale";"Annuale";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"Torino";""
"2014";" 001020 ";"BANCHETTE";"VIA SAMONE";"Mercato";"sab.";"Settimanale";"Annuale";"0";"3";"0";"0";"3";"0";"1";"0";"1";"2";"5";"Torino";""
"2014";" 001022 ";"BARDONECCHIA";"Piazza Statuto";"Mercato";"sab.";"Settimanale";"Annuale";"0";"11";"21";"0";"32";"7";"0";"0";"0";"7";"39";"Torino";""
"2014";" 001034 ";"BRANDIZZO";"VIA VITTIME DI BOLOGNA";"Mercato";"mar.";"Settimanale";"Annuale";"0";"1";"0";"0";"1";"0";"1";"0";"0";"1";"2";"Torino";""
"2014";" 001025 ";"BIBIANA";"PIAZZA VITTORIO EMANUELE II";"Mercato";"lun.";"Settimanale";"Annuale";"0";"10";"11";"0";"21";"0";"1";"10";"0";"11";"32";"Torino";""
"2014";" 001028 ";"BORGARO TORINESE";"VIA GRAMSCI";"Mercato";"sab.";"Settimanale";"Annuale";"0";"21";"34";"2";"57";"0";"2";"2";"0";"4";"61";"Torino";""
"2014";" 001028 ";"BORGARO TORINESE";"ZONA VILLARETTO - VIA DONATELLO ALTEZZA CIVICO 6";"Posteggio isolato";"lun. mar. mer. gio. ven. sab. dom.";"Settimanale";"Annuale";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"Torino";""
"2014";" 001037 ";"BROZOLO";"Piazza Radicati";"Mercato";"gio.";"Settimanale";"Annuale";"1";"3";"0";"1";"5";"0";"0";"1";"0";"1";"6";"Torino";""
"2014";" 001044 ";"BUSSOLENO";"Piazza Cavalieri di Vittorio Veneto";"Mercato";"lun.";"Settimanale";"Annuale";"5";"30";"100";"17";"152";"0";"0";"0";"0";"0";"152";"Torino";""
"2014";" 001032 ";"BORGONE SUSA";"PIAZZA MONTABONE";"Mercato";"ven.";"Settimanale";"Annuale";"0";"11";"11";"1";"23";"0";"4";"11";"1";"16";"39";"Torino";""
"2014";" 001039 ";"BRUSASCO";"Via Martiri della Liberta'";"Mercato";"mar.";"Settimanale";"Annuale";"0";"11";"18";"0";"29";"11";"0";"0";"0";"11";"40";"Torino";""
"2014";" 001041 ";"BURIASCO";"PIAZZA GONNET";"Mercato";"mar.";"Settimanale";"Annuale";"0";"2";"0";"0";"2";"2";"0";"0";"0";"2";"4";"Torino";""
"2014";" 001028 ";"BORGARO TORINESE";"BORGARO TORINESE - VIA CIRIE'";"Mercato";"gio.";"Settimanale";"Annuale";"0";"11";"14";"1";"26";"0";"2";"2";"1";"5";"31";"Torino";""
"2014";" 001030 ";"BORGOFRANCO D'IVREA";"PIAZZA DEL MERCATO/VIA MARCONI";"Mercato";"sab.";"Settimanale";"Annuale";"0";"6";"4";"0";"10";"0";"2";"8";"2";"12";"22";"Torino";""
"2014";" 001034 ";"BRANDIZZO";"PIAZZA CARLO TEMPIA";"Mercato";"gio.";"Settimanale";"Annuale";"0";"7";"1";"1";"9";"0";"0";"0";"0";"0";"9";"Torino";""
"2014";" 001024 ";"BEINASCO";"PIAZZA Sandro PERTINI";"Mercato";"gio.";"Settimanale";"Annuale";"0";"27";"43";"7";"77";"0";"0";"0";"1";"1";"78";"Torino";""
"2014";" 001034 ";"BRANDIZZO";"PIAZZA CARLO TEMPIA";"Mercato";"sab.";"Settimanale";"Annuale";"0";"9";"5";"1";"15";"0";"0";"2";"0";"2";"17";"Torino";""
