"EnteDiCompetenza";"Provincia";"Comune";"DenominazioneIndirizzo";"NumeroCivico";"CodiceEdificioRilevazione";"CodiceEdificioRegionePiemonte";"AnnoDiCostruzione";"AnnoDiCostruzioneSND";"AnnoEsattoDiCostruzione";"CopiaArchivioSiNo";"ContaEdifici";""
"Comune";"Alessandria";"Acqui Terme";"VIALE ACQUEDOTTO ROMANO";"34";"ACQUI06";"0060010006";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Alessandria";"Acqui Terme";"Corso ROMA";"2";"ACQUI09";"0060010009";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Comune";"Alessandria";"Acqui Terme";"Via SAVONAROLA";"27";"ACQUI03";"0060010002";"7 - dal 1976";"Si";"";"No";"1";""
"Comune";"Alessandria";"Acqui Terme";"Via SAN DEFENDENTE";"29";"ACQUI05";"0060010004";"Anno specificare";"Si";"1979";"No";"1";""
"Comune";"Alessandria";"Alessandria";"Via Benedetto Croce";"13/A";"010";"0060030015";"7 - dal 1976";"Si";"";"No";"1";""
"Comune";"Alessandria";"Alessandria";"Corso Monferrato";"1";"004";"0060030011";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Alessandria";"Acqui Terme";"Via Nizza";"185";"ACQUI01";"0060010001";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Comune";"Alessandria";"Acqui Terme";"Via ALDO MORO";"1";"ACQUI02";"0060010003";"Anno specificare";"Si";"1976";"No";"1";""
"Comune";"Alessandria";"Alessandria";"Spalto Rovereto";"63";"006";"0060030012";"Anno specificare";"Si";"1907";"No";"1";""
"Comune";"Alessandria";"Acqui Terme";"Corso Roma";"4";"PROV_AL_11";"0060010012";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Comune";"Alessandria";"Acqui Terme";"Via MARENCO";"2";"ACQUI07";"0060010018";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Comune";"Alessandria";"Alessandria";"Piazza D'Azeglio";"15";"008";"0060030013";"Anno specificare";"Si";"1973";"No";"1";""
"Comune";"Alessandria";"Alessandria";"piazza dossena";"11";"025";"0060030024";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Comune";"Alessandria";"Acqui Terme";"Piazzale FACELLI";"";"ACQUI10";"0060010017";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Comune";"Alessandria";"Acqui Terme";"Via XX SETTEMBRE";"20";"ACQUI04";"0060010005";"Anno specificare";"Si";"1900";"No";"1";""
"Comune";"Alessandria";"Alessandria";"Piazza ADOLFO BALONCIERI";"13";"027";"0060030026";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Comune";"Alessandria";"Alessandria";"Piazza Della Scuola";"1";"019";"0060030020";"Anno specificare";"Si";"1902";"No";"1";""
"Comune";"Alessandria";"Alessandria";"Piazza Maino";"6 e 8";"029";"0060030041";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Comune";"Alessandria";"Alessandria";"Piazza Vittorio Veneto";"5";"001";"0060030039";"Anno specificare";"Si";"1905";"No";"1";""
"Comune";"Alessandria";"Alessandria";"Via Benedetto Croce";"9";"011";"0060030016";"7 - dal 1976";"Si";"";"No";"1";""
"Comune";"Alessandria";"Alessandria";"via comunale";"31";"023";"0060030023";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Comune";"Alessandria";"Alessandria";"VIA CAMPI PIER LUIGI";"51";"038";"";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Alessandria";"Alessandria";"Via del Ferraio";"46";"028";"0060030035";"Anno specificare";"Si";"1957";"No";"1";""
"Comune";"Alessandria";"Alessandria";"Via Cassano";"12";"037";"0060030043";"Anno specificare";"Si";"1926";"No";"1";""
"Comune";"Alessandria";"Altavilla Monferrato";"VIALE UNITA' D'ITALIA";"13";"001";"0060070001";"Anno specificare";"Si";"1965";"No";"1";""
"Comune";"Alessandria";"Alessandria";"Via De Amicis";"2";"021";"0060030033";"Anno specificare";"Si";"1920";"No";"1";""
"Comune";"Alessandria";"Alessandria";"Via Bensi";"2";"017";"0060030018";"Anno specificare";"Si";"1957";"No";"1";""
