"","date","window_mean_time","window_start","window_end","station_observations_in_window","system_bikes_in","system_spaces_free","system_broken_bikes","system_capacity","segment","period","season","Mean.TemperatureC","MeanDew.PointC","Mean.Humidity","Mean.Sea.Level.PressurehPa","Mean.VisibilityKm","Mean.Wind.SpeedKm.h","Precipitationmm","CloudCover","fog","precip","tstorm","tornado","isWeekend","predict_day_spaces_free"
"1",2015-07-29,2015-07-29 16:47:00,1438187820,1438189020,154,574,1538,170,2282,1,"evening","summer",24,18,67,1007,12,6,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,0.635135770130548
"2",2015-07-29,2015-07-29 17:48:00,1438191480,1438192680,152,580,1507,167,2254,2,"evening","summer",24,18,67,1007,12,6,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,0.635135770130548
"3",2015-07-29,2015-07-29 18:46:00,1438194960,1438196160,153,614,1493,165,2272,3,"evening","summer",24,18,67,1007,12,6,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,0.635135770130548
"4",2015-07-29,2015-07-29 19:43:00,1438198380,1438199580,153,605,1493,174,2272,4,"evening","summer",24,18,67,1007,12,6,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,0.635135770130548
"5",2015-07-29,2015-07-29 19:53:00,1438198980,1438200180,153,603,1495,174,2272,5,"evening","summer",24,18,67,1007,12,6,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,0.635135770130548
"6",2015-07-29,2015-07-29 20:49:00,1438202340,1438203540,152,614,1474,168,2256,6,"night","summer",24,18,67,1007,12,6,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,0.635135770130548
"7",2015-07-29,2015-07-29 21:47:00,1438205820,1438207020,153,610,1488,174,2272,7,"night","summer",24,18,67,1007,12,6,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,0.635135770130548
"8",2015-07-29,2015-07-29 23:48:00,1438213080,1438214280,153,623,1487,162,2272,8,"night","summer",24,18,67,1007,12,6,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,0.635135770130548
"9",2015-07-30,2015-07-30 00:47:00,1438216620,1438217820,153,631,1468,173,2272,9,"late","summer",23,17,69,1009,14,8,12.95,5,FALSE,TRUE,TRUE,FALSE,FALSE,0.629562955176484
"10",2015-07-30,2015-07-30 01:48:00,1438220280,1438221480,152,634,1460,163,2257,10,"late","summer",23,17,69,1009,14,8,12.95,5,FALSE,TRUE,TRUE,FALSE,FALSE,0.629562955176484
"11",2015-07-30,2015-07-30 02:46:00,1438223760,1438224960,152,641,1454,167,2262,11,"late","summer",23,17,69,1009,14,8,12.95,5,FALSE,TRUE,TRUE,FALSE,FALSE,0.629562955176484
"12",2015-07-30,2015-07-30 03:42:00,1438227120,1438228320,153,633,1472,167,2272,12,"late","summer",23,17,69,1009,14,8,12.95,5,FALSE,TRUE,TRUE,FALSE,FALSE,0.629562955176484
"13",2015-07-30,2015-07-30 03:52:00,1438227720,1438228920,153,635,1470,167,2272,13,"late","summer",23,17,69,1009,14,8,12.95,5,FALSE,TRUE,TRUE,FALSE,FALSE,0.629562955176484
"14",2015-07-30,2015-07-30 04:49:00,1438231140,1438232340,152,627,1466,164,2257,14,"early","summer",23,17,69,1009,14,8,12.95,5,FALSE,TRUE,TRUE,FALSE,FALSE,0.629562955176484
"15",2015-07-30,2015-07-30 05:47:00,1438234620,1438235820,153,585,1517,170,2272,15,"early","summer",23,17,69,1009,14,8,12.95,5,FALSE,TRUE,TRUE,FALSE,FALSE,0.629562955176484
"16",2015-07-30,2015-07-30 06:43:00,1438237980,1438239180,153,546,1564,162,2272,16,"early","summer",23,17,69,1009,14,8,12.95,5,FALSE,TRUE,TRUE,FALSE,FALSE,0.629562955176484
"17",2015-07-30,2015-07-30 06:53:00,1438238580,1438239780,153,545,1563,164,2272,17,"early","summer",23,17,69,1009,14,8,12.95,5,FALSE,TRUE,TRUE,FALSE,FALSE,0.629562955176484
"18",2015-07-30,2015-07-30 07:49:00,1438241940,1438243140,153,599,1500,173,2272,18,"early","summer",23,17,69,1009,14,8,12.95,5,FALSE,TRUE,TRUE,FALSE,FALSE,0.629562955176484
"19",2015-07-30,2015-07-30 08:47:00,1438245420,1438246620,152,591,1491,175,2257,19,"morning","summer",23,17,69,1009,14,8,12.95,5,FALSE,TRUE,TRUE,FALSE,FALSE,0.629562955176484
"20",2015-07-30,2015-07-30 09:49:00,1438249140,1438250340,153,600,1496,176,2272,20,"morning","summer",23,17,69,1009,14,8,12.95,5,FALSE,TRUE,TRUE,FALSE,FALSE,0.629562955176484
"21",2015-07-30,2015-07-30 10:47:00,1438252620,1438253820,154,590,1524,168,2282,21,"morning","summer",23,17,69,1009,14,8,12.95,5,FALSE,TRUE,TRUE,FALSE,FALSE,0.629562955176484
"22",2015-07-30,2015-07-30 11:48:00,1438256280,1438257480,154,600,1519,163,2282,22,"morning","summer",23,17,69,1009,14,8,12.95,5,FALSE,TRUE,TRUE,FALSE,FALSE,0.629562955176484
"23",2015-07-30,2015-07-30 12:48:00,1438259880,1438261080,154,589,1527,166,2282,23,"afternoon","summer",23,17,69,1009,14,8,12.95,5,FALSE,TRUE,TRUE,FALSE,FALSE,0.629562955176484
"24",2015-07-30,2015-07-30 13:47:00,1438263420,1438264620,154,609,1506,167,2282,24,"afternoon","summer",23,17,69,1009,14,8,12.95,5,FALSE,TRUE,TRUE,FALSE,FALSE,0.629562955176484
"25",2015-07-30,2015-07-30 14:48:00,1438267080,1438268280,154,600,1514,168,2282,25,"afternoon","summer",23,17,69,1009,14,8,12.95,5,FALSE,TRUE,TRUE,FALSE,FALSE,0.629562955176484
"26",2015-07-30,2015-07-30 15:47:00,1438270620,1438271820,153,574,1532,166,2272,26,"afternoon","summer",23,17,69,1009,14,8,12.95,5,FALSE,TRUE,TRUE,FALSE,FALSE,0.629562955176484
"27",2015-07-30,2015-07-30 16:48:00,1438274280,1438275480,153,569,1542,161,2272,27,"evening","summer",23,17,69,1009,14,8,12.95,5,FALSE,TRUE,TRUE,FALSE,FALSE,0.629562955176484
"28",2015-07-30,2015-07-30 17:49:00,1438277940,1438279140,153,591,1523,158,2272,28,"evening","summer",23,17,69,1009,14,8,12.95,5,FALSE,TRUE,TRUE,FALSE,FALSE,0.629562955176484
"29",2015-07-30,2015-07-30 18:47:00,1438281420,1438282620,153,608,1491,173,2272,29,"evening","summer",23,17,69,1009,14,8,12.95,5,FALSE,TRUE,TRUE,FALSE,FALSE,0.629562955176484
"30",2015-07-30,2015-07-30 19:49:00,1438285140,1438286340,153,634,1463,175,2272,30,"evening","summer",23,17,69,1009,14,8,12.95,5,FALSE,TRUE,TRUE,FALSE,FALSE,0.629562955176484
"31",2015-07-30,2015-07-30 20:46:00,1438288560,1438289760,153,617,1492,163,2272,31,"night","summer",23,17,69,1009,14,8,12.95,5,FALSE,TRUE,TRUE,FALSE,FALSE,0.629562955176484
"32",2015-07-30,2015-07-30 21:48:00,1438292280,1438293480,153,628,1486,158,2272,32,"night","summer",23,17,69,1009,14,8,12.95,5,FALSE,TRUE,TRUE,FALSE,FALSE,0.629562955176484
"33",2015-07-30,2015-07-30 22:46:00,1438295760,1438296960,153,646,1464,162,2272,33,"night","summer",23,17,69,1009,14,8,12.95,5,FALSE,TRUE,TRUE,FALSE,FALSE,0.629562955176484
"34",2015-07-30,2015-07-30 23:47:00,1438299420,1438300620,152,645,1445,167,2257,34,"night","summer",23,17,69,1009,14,8,12.95,5,FALSE,TRUE,TRUE,FALSE,FALSE,0.629562955176484
"35",2015-07-31,2015-07-31 00:49:00,1438303140,1438304340,153,643,1460,169,2272,35,"late","summer",22,16,68,1014,12,10,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,0.623950690821275
"36",2015-07-31,2015-07-31 01:46:00,1438306560,1438307760,152,644,1458,155,2257,36,"late","summer",22,16,68,1014,12,10,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,0.623950690821275
"37",2015-07-31,2015-07-31 02:48:00,1438310280,1438311480,153,649,1454,169,2272,37,"late","summer",22,16,68,1014,12,10,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,0.623950690821275
"38",2015-07-31,2015-07-31 03:46:00,1438313760,1438314960,153,654,1454,164,2272,38,"late","summer",22,16,68,1014,12,10,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,0.623950690821275
"39",2015-07-31,2015-07-31 04:48:00,1438317480,1438318680,153,647,1465,160,2272,39,"early","summer",22,16,68,1014,12,10,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,0.623950690821275
"40",2015-07-31,2015-07-31 05:49:00,1438321140,1438322340,153,605,1503,164,2272,40,"early","summer",22,16,68,1014,12,10,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,0.623950690821275
"41",2015-07-31,2015-07-31 06:47:00,1438324620,1438325820,152,570,1513,174,2257,41,"early","summer",22,16,68,1014,12,10,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,0.623950690821275
"42",2015-07-31,2015-07-31 07:48:00,1438328280,1438329480,152,604,1487,166,2257,42,"early","summer",22,16,68,1014,12,10,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,0.623950690821275
"43",2015-07-31,2015-07-31 08:46:00,1438331760,1438332960,153,623,1481,168,2272,43,"morning","summer",22,16,68,1014,12,10,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,0.623950690821275
"44",2015-07-31,2015-07-31 09:47:00,1438335420,1438336620,153,616,1497,159,2272,44,"morning","summer",22,16,68,1014,12,10,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,0.623950690821275
