id;name;mall#;average;malls;coord
Turati;256.950073576;18;146;45.048, 7.66379;51815006, 51815005, 51758004, 51758005, 51752008, 51752006, 51775005, 51752007, 51714004, 51892005, 51892006, 51742005, 51861004, 51860005, 51867004, 51848005, 51848004, 51777003;
Lione;236.753852767;15;70;45.05993, 7.65636;51642004, 51703005, 51694005, 51540005, 57456001, 51976003, 51538007, 51606007, 51728005, 51692005, 51669007, 57194001, 52086008, 51611005, 51609006;
Fiume;216.726169534;11;44;45.05803, 7.693525;52388003, 52398003, 52357003, 52357004, 52304003, 52380004, 52380003, 52339004, 52334003, 52339003, 57039001;
Giordano Bruno;216.461005661;10;58;45.044259999999994, 7.664095;51770005, 51783005, 51813006, 51823005, 51815006, 51815005, 51758004, 51758005, 51752008, 51775005;
Belfiore;232.605967152;12;6;45.054245, 7.678395;52149002, 52208003, 52156002, 52171002, 52070004, 52170002, 52070005, 52070008, 52088002, 52196002, 52205003, 57872003;
Bodoni;257.457770986;18;11;45.063359999999996, 7.684214999999999;52251003, 52246003, 52252004, 52216003, 52012003, 52209004, 57364001, 53838001, 56780002, 52181003, 52710002, 52271003, 52274005, 52274004, 54745002, 56157003, 57370001, 54746001;
Livorno 2;114.150195209;4;72;45.087035, 7.669264999999999;51934003, 51927002, 51966002, 51979003;
Gerbido;169.396644403;9;53;45.0444, 7.61762;50814014, 50814013, 50778020, 50774015, 50789014, 54681002, 57446001, 50766017, 50779013;
Cairoli;232.22146311;13;18;45.058795, 7.690355;52357003, 52357004, 52304003, 52289004, 52300003, 52280003, 52339004, 52334003, 52339003, 55577001, 57039001, 55578001, 55574001;
Raffaello;259.761523618;18;118;45.051584999999996, 7.678319999999999;52114003, 56962001, 52123003, 52169002, 52215003, 57871004, 52052005, 57057001, 52208004, 52149002, 52208003, 52156002, 52171002, 52070004, 52170002, 52070005, 52070008, 52088002;
Castello 2;242.484548943;13;24;45.070125, 7.686495;57369001, 56978001, 55568001, 52313005, 55571001, 52221003, 52221002, 52213005, 52287003, 52254004, 52254003, 54564003, 52238003;
Lupo;208.976823647;12;74;45.06566, 7.57905;50522012, 50522011, 50531013, 50531012, 50561014, 51184009, 50540016, 56859001, 56858001, 50511018, 50534016, 54661001;
Galileo Ferraris 6;228.499505768;10;50;45.04266, 7.654895;51554009, 51662008, 51672004, 51603008, 51605007, 51617006, 51568007, 51568008, 51619005, 51680005;
Galileo Ferraris 1;182.237981016;7;45;45.055305, 7.6639550000000005;51831005, 51789004, 51789005, 51880005, 51880004, 51830006, 51830005;
