name;mall#;average;coord;id;malls;shops#;surface_mall_tinomt;surface_mall_mean;surface_mall_max;surface_mall_tot
VIA NIZZA;1;336.771405076;45.03454, 7.668069999999999;-5;8 GALLERY - LINGOTTO;74;12048;12048;12048;12048
CLN;1;62.6274634107;45.06609, 7.682205000000001;28;LAGRANGE;25;8424;8424;8424;8424
Paleocapa;1;188.372106241;45.064155, 7.67881;98;CENTRO COMMERCIALE PORTA NUOVA;25;2435;2435;2435;2435
Bodoni;1;308.847116997;45.063359999999996, 7.684214999999999;11;LAGRANGE;25;8424;8424;8424;8424
Porta Nuova 2;1;59.3614407477;45.06285, 7.679314999999999;112;CENTRO COMMERCIALE PORTA NUOVA;25;2435;2435;2435;2435
Porta Nuova 1;1;61.7905921739;45.06301, 7.678914999999999;111;CENTRO COMMERCIALE PORTA NUOVA;25;2435;2435;2435;2435
Valdo Fusi;1;299.947988759;45.064665000000005, 7.6863;151;LAGRANGE;25;8424;8424;8424;8424
Giolitti 1;1;76.2596010933;45.066485, 7.683675;56;LAGRANGE;25;8424;8424;8424;8424
Livorno 2;1;57.2459253691;45.087035, 7.669264999999999;72;PARCO DORA;37;15408;15408;15408;15408
Vittorio Emanuele II 4;1;272.115236004;45.061735, 7.6821;161;CENTRO COMMERCIALE PORTA NUOVA;25;2435;2435;2435;2435
Vittorio Emanuele II 6;1;249.061888356;45.063795, 7.676260000000001;163;CENTRO COMMERCIALE PORTA NUOVA;25;2435;2435;2435;2435
Lagrange;2;262.970931813;45.06344, 7.68087;64;CENTRO COMMERCIALE PORTA NUOVA, LAGRANGE;25, 25;2435;5429.5;8424;10859
Lingotto Fiere;1;68.3515541424;45.03105, 7.666585;69;8 GALLERY - LINGOTTO;74;12048;12048;12048;12048
Livorno;1;58.6997303027;45.087154999999996, 7.669775;71;PARCO DORA;37;15408;15408;15408;15408
