name;id;coord;average;market#;markets;days_open_min;days_open_mean;days_open_max;days_open_tot;total_places_min;total_places_mean;total_places_max;total_places_tot
IV Marzo;63;45.073326666666695, 7.68228;349.183316443;2;PIAZZA DELLA REPUBBLICA, PIAZZA DELLA REPUBBLICA;1;3;6;7;158;564;970;1128
Universita`3;150;45.06758, 7.69171333333333;333.906868217;2;PIAZZA VITTORIA, PIAZZA CARLINA;6;6;6;12;11;97;184;195
Valdo Fusi;151;45.064665000000005, 7.6863;206.608025702;1;PIAZZA CARLINA;6;6;6;6;11;11;11;11
Re Umberto;120;45.059545, 7.670615;244.566355013;1;PIAZZA SAN SECONDO;6;6;6;6;85;85;85;85
Cernaia;25;45.072645, 7.670260000000001;228.416161722;1;CORSO VALDOCCO - CORSO PALESTRO;6;6;6;6;115;115;115;115
Valentino 1;154;45.059145, 7.68805;332.438151675;1;PIAZZA MADAMA CRISTINA;6;6;6;6;149;149;149;149
Giardini Cavour;55;45.06315, 7.688885000000001;328.926937369;1;PIAZZA CARLINA;6;6;6;6;11;11;11;11
Risorgimento;129;45.07965, 7.65217;190.079272484;1;CORSO SVIZZERA;6;6;6;6;160;160;160;160
Giulia di Barolo;59;45.067405, 7.6968;287.519799333;3;PIAZZA VITTORIA, PIAZZA SANTA GIULIA, VIA MARTINI;6;6;6;18;66;127;184;381
Bolzano;13;45.07139, 7.666689999999999;111.971016015;1;CORSO BOLZANO;6;6;6;6;7;7;7;7
Baretti;4;45.057635, 7.681255;235.694373181;1;PIAZZA MADAMA CRISTINA;6;6;6;6;149;149;149;149
Carrara;21;45.069155, 7.720385;342.453696575;1;CORSO CHIETI;6;6;6;6;40;40;40;40
CORSO SAN MAURIZIO E VANCHIGLIA;-3;45.07007, 7.697839999999999;162.583627398;2;PIAZZA SANTA GIULIA, VIA MARTINI;6;6;6;12;66;98;131;197
RAI;119;45.068909999999995, 7.691165;334.196747024;1;VIA MARTINI;6;6;6;6;131;131;131;131
Giolitti 1;56;45.066485, 7.683675;347.93187292;1;PIAZZA CARLINA;6;6;6;6;11;11;11;11
Regio Parco;127;45.076855, 7.694210000000001;220.201324201;1;CORSO REGIO PARCO;6;6;6;6;51;51;51;51
Giolitti 2;57;45.0641, 7.690460000000001;288.078408841;1;PIAZZA CARLINA;6;6;6;6;11;11;11;11
Lungo Po Cadorna;73;45.065490000000004, 7.69871;295.221206806;1;PIAZZA VITTORIA;6;6;6;6;184;184;184;184
San Maurizio;132;45.071934999999996, 7.69261;278.579632876;1;VIA MARTINI;6;6;6;6;131;131;131;131
Regina Margherita 2;124;45.072345, 7.6972;320.607070895;2;PIAZZA SANTA GIULIA, VIA MARTINI;6;6;6;12;66;98;131;197
Padova;97;45.0791, 7.698425;195.998216182;1;CORSO REGIO PARCO;6;6;6;6;51;51;51;51
Vittorio Veneto 2;164;45.06518, 7.693675;115.6244484;1;PIAZZA VITTORIA;6;6;6;6;184;184;184;184
Inghilterra 1;62;45.07287, 7.6657399999999996;245.615689312;1;CORSO BOLZANO;6;6;6;6;7;7;7;7
XI Febbraio;165;45.07692, 7.68738;240.889455124;2;PIAZZA DELLA REPUBBLICA, PIAZZA DELLA REPUBBLICA;1;3;6;7;158;564;970;1128
Sant´Anselmo;133;45.059665, 7.681385000000001;227.82935838;1;PIAZZA MADAMA CRISTINA;6;6;6;6;149;149;149;149
San Francesco da Paola;130;45.068605, 7.689080000000001;295.304542059;1;PIAZZA CARLINA;6;6;6;6;11;11;11;11
Valdocco 2;153;45.075334999999995, 7.673719999999999;187.367893113;1;CORSO VALDOCCO - CORSO PALESTRO;6;6;6;6;115;115;115;115
Statuto 2;140;45.076245, 7.67166;277.760028856;1;CORSO VALDOCCO - CORSO PALESTRO;6;6;6;6;115;115;115;115
Piazza Carlina;101;45.06678, 7.6889199999999995;106.189711907;1;PIAZZA CARLINA;6;6;6;6;11;11;11;11
VIALE DEI PARTIGIANI, VIA DENINA, LUNGODORA SIENA;-2;45.074940000000005, 7.68756;260.455352337;2;PIAZZA DELLA REPUBBLICA, PIAZZA DELLA REPUBBLICA;1;3;6;7;158;564;970;1128
Maria Vittoria;77;45.065135, 7.692285000000001;284.180793732;2;PIAZZA VITTORIA, PIAZZA CARLINA;6;6;6;12;11;97;184;195
Belgio 2;7;45.07327, 7.71714;192.209170152;1;CORSO CHIETI;6;6;6;6;40;40;40;40
Porta Susa 1;114;45.07301, 7.667889999999999;312.533350872;1;CORSO BOLZANO;6;6;6;6;7;7;7;7
Bava;5;45.06909, 7.70193;240.491325079;1;PIAZZA SANTA GIULIA;6;6;6;6;66;66;66;66
Arbarello;2;45.07356, 7.676585;313.773437716;1;CORSO VALDOCCO - CORSO PALESTRO;6;6;6;6;115;115;115;115
Carlo Alberto;20;45.068045, 7.686665;247.089052415;1;PIAZZA CARLINA;6;6;6;6;11;11;11;11
