name;average;max;mean;surface_sale;sale#;min;id;coord;sales
Turati;217.636576086;3037;1535;4607;3;398;146;45.048, 7.66379;CORSO BRAMANTE 21, CORSO BRAMANTE 14, CORSO FILIPPO TURATI 75
Lione;200.261045376;400;400;800;2;400;70;45.05993, 7.65636;VIA GIOVANNI DA VERAZZANO 27, CORSO PESCHIERA 321/int.1
Fiume;172.307776376;1000;513;3083;6;277;44;45.05803, 7.693525;LARGO MENTANA 8/BIS, VIA VOLTURNO 14, CORSO MONCALIERI 23, CORSO MONCALIERI 21, CORSO MONCALIER 15, CORSO MONCALIERI 15
Giordano Bruno;230.184929223;3037;1086;6519;6;337;58;45.044259999999994, 7.664095;VIA V. STEFFENONE 34/A, VIA F. MICHELI 9/B, VIA P. GALLUPPI 5, CORSO BRAMANTE 21, CORSO BRAMANTE 14, CORSO FILIPPO TURATI 75
Belfiore;213.655085704;960;497;4473;9;262;6;45.054245, 7.678395;CORSO RAFFAELLO 16, VIA MADAMA CRISTINA 66, VIA MADAMA CRISTINA 66, VIA T. VALPERGA CALUSO 18/C, VIA T. VALPERGA CALUSO 14, VIA ODDINO MORGARI 24, VIA NIZZA 53, VIA NIZZA 30, VIA G. RIBET 8/int.3
Bodoni;261.922751894;4878;913;21912;24;304;11;45.063359999999996, 7.684214999999999;CORSO VITTORIO EMANUELE II IS 32/BIS/C, VIA GOITO 5, CORSO VITTORIO EMANUELE II 38, VIA CARLO ALBERTO 38/B, VIA G.L. LAGRANGE 40/A, VIA G.L. LAGRANGE 47, VIA CARLO ALBERTO 36/H, VIA CARLO ALBERTO 36, VIA G. MAZZINI 9, VIA G.L. LAGRANGE 45/C, PIAZZA CARLO FELICE 35, VIA ANDREA DORIA 13/C, VIA ANDREA DORIA 6/G, PIAZZA CARLO FELICE 15, VIA ROMA 365, VIA ROMA 360, VIA ROMA 343, VIA ROMA 354, VIA ROMA 325, VIA ROMA 305, VIA CARLO ALBERTO 22, VIA G.L. LAGRANGE 15, VIA G.L. LAGRANGE 15, VIA GIOLITTI 16/D
Livorno 2;113.343453478;6000;1010;16166;16;280;72;45.087035, 7.669264999999999;VIA CEVA 45/A, CORSO UMBRIA 45/B, VIA TREVISO 16/M, VIA TREVISO 24, VIA TREVISO 22/E, VIA TREVISO 26/C, VIA TREVISO 32/D, VIA TREVISO 42/F, VIA TREVISO 42/F, VIA LIVORNO 50/G, VIA LIVORNO 50/D, VIA LIVORNO 50/A, VIA LIVORNO 49, VIA LIVORNO 49/C, VIA LIVORNO 51, VIA LIVORNO 45/F
Bologna;221.01273415;910;536;3758;7;343;12;45.082445, 7.695695;VIA C. PEDROTTI 3/B, LARGO BRESCIA 51, VIA BOLOGNA 60, VIA G. REGALDI 7/int.11, VIA PAVIA 18/I, VIA LODI 38, VIA BOLOGNA 94/F
Cairoli;313.543407069;1000;563;1690;3;277;18;45.058795, 7.690355;CORSO MONCALIERI 23, CORSO MONCALIERI 21, VIA MILLE 46/D
Raffaello;174.371713007;960;452;4075;9;252;118;45.051584999999996, 7.678319999999999;VIA G. DONIZETTI 4, VIA SALUZZO 75/G, CORSO RAFFAELLO 16, VIA MADAMA CRISTINA 66, VIA MADAMA CRISTINA 66, VIA T. VALPERGA CALUSO 18/C, VIA T. VALPERGA CALUSO 14, VIA ODDINO MORGARI 24, VIA NIZZA 53
Castello 2;239.362765049;2033;608;16420;27;251;24;45.070125, 7.686495;VIA M. VITTORIA 7/A, Via G.L. Lagrange 2/Q, PIAZZA S.CARLO 145, VIA ROMA 121, VIA ROMA 124, VIA S.TERESA 2/B, VIA ROMA 112, VIA ROMA 95, VIA BOGINO 2/B, VIA ROMA 77, VIA ROMA 80, VIA ROMA 53, VIA ROMA 58, VIA ROMA 54, VIA ROMA 56, VIA ROMA 33, VIA ROMA 38, VIA CESARE BATTISTI 1, VIA ACCADEMIA DELLE SCIENZE 4/C, VIA ROMA 5,  2, PIAZZA CASTELLO 113, VIA G. BARBAROUX 2/B, PIAZZA CASTELLO 139, PIAZZA CASTELLO 143, VIA GIUSEPPE GARIBALDI 3/B, VIA GIUSEPPE GARIBALDI 7
Castello 1;300.75927703;900;404;3643;9;251;23;45.07142, 7.688095;VIA BOGINO 2/B, VIA CESARE BATTISTI 1, VIA ACCADEMIA DELLE SCIENZE 4/C, VIA ROMA 5, PIAZZA CASTELLO 113, VIA G. BARBAROUX 2/B, PIAZZA CASTELLO 139, PIAZZA CASTELLO 143, VIA GIUSEPPE GARIBALDI 3/B
Lingotto Fiere;99.1109279478;2900;831;7485;9;390;69;45.03105, 7.666585;VIA NIZZA 262, VIA NIZZA 262, VIA NIZZA 262, VIA NIZZA 262, VIA NIZZA 262, VIA NIZZA 262, VIA NIZZA 262, VIA NIZZA 262, VIA NIZZA 230
Galileo Ferraris 1;265.43906468;331;331;331;1;331;45;45.055305, 7.6639550000000005;CORSO A. DE GASPERI 17/F
De Gasperi;190.243317947;1200;752;3762;5;331;36;45.05709, 7.66125;CORSO A. DE GASPERI 38/F, CORSO A. DE GASPERI 17/F, VIA CRISTOFORO COLOMBO 43/B, VIA GIOVANNI DA VERAZZANO 27, VIA MARCO POLO 15/C
RAI;291.972560122;354;286;1145;4;251;119;45.068909999999995, 7.691165;VIA ROSINE 4/B, VIA PO 46/B, VIA L. DES AMBROIS 5/R, VIA BOGINO 2/B
Regio Parco;117.007284301;376;376;376;1;376;127;45.076855, 7.694210000000001;CORSO REGIO PARCO 20/D
