name;schools;school#;average;id;coord
Lione;VIA BERTA AUGUSTO, VIA BERTA AUGUSTO, VIA BRACCINI, VIA BRACCINI;4;201.933207855;70;45.05993, 7.65636
Fiume;VIA MENTANA, VIA MENTANA, VIA MANARA, VIA MANARA;4;253.958824997;44;45.05803, 7.693525
Raffaello;VIA BIDONE, VIA BIDONE, VIA VALPERGA CALUSO, VIA VALPERGA CALUSO;4;213.875533139;118;45.051584999999996, 7.678319999999999
Belfiore;VIA BIDONE, VIA BIDONE, VIA VALPERGA CALUSO, VIA VALPERGA CALUSO, VIA GIACOSA GIUSEPPE;5;177.904146985;6;45.054245, 7.678395
Bologna;VIA BOLOGNA, VIA BOLOGNA, VIA BOLOGNA, VIA BOLOGNA, CORSO NOVARA, CORSO NOVARA, VIA BERSEZIO VITTORIO, VIA BERSEZIO VITTORIO;8;268.914061625;12;45.082445, 7.695695
Giulia di Barolo;"VIA GIULIA DI BAROLO, VIA GIULIA DI BAROLO, ""VIA SANTOTTAVIO"", ""VIA SANTOTTAVIO"", ""VIA SANTOTTAVIO"", ""VIA SANTOTTAVIO"", VIA S. OTTAVIO , VIA S. OTTAVIO ";8;223.756706143;59;45.067405, 7.6968
Castello 2;VIA BIANZ\xcc\xac, VIA PASSONI MARIO E LUIGI, VIA VALFR\xcc\xac BEATO SEBASTIANO, STRADA ALTESSANO/VIA SANSOVINO, VIA BIANZ\xcc\xac, VIA PASSONI MARIO E LUIGI, VIA VALFR\xcc\xac BEATO SEBASTIANO, STRADA ALTESSANO/VIA SANSOVINO;8;35.2467179719;24;45.070125, 7.686495
Castello 1;VIA BIANZ\xcc\xac, VIA PASSONI MARIO E LUIGI, VIA VALFR\xcc\xac BEATO SEBASTIANO, STRADA ALTESSANO/VIA SANSOVINO, VIA BIANZ\xcc\xac, VIA PASSONI MARIO E LUIGI, VIA VALFR\xcc\xac BEATO SEBASTIANO, STRADA ALTESSANO/VIA SANSOVINO;8;157.081912981;23;45.07142, 7.688095
Lingotto Fiere;VIA GARESSIO, VIA GARESSIO, VIA FINALMARINA, VIA FINALMARINA, VIA LAVAGNA, VIA LAVAGNA, VIA LAVAGNA, VIA LAVAGNA;8;307.972176416;69;45.03105, 7.666585
De Gasperi;VIA COLOMBO CRISTOFORO, VIA COLOMBO CRISTOFORO;2;114.407876806;36;45.05709, 7.66125
RAI;"VIA SANTOTTAVIO, ""VIA SANTOTTAVIO"", VIA ACCADEMIA ALBERTINA, VIA ACCADEMIA ALBERTINA, ""VIA SANTOTTAVIO"", ""VIA SANTOTTAVIO"", VIA S. OTTAVIO , VIA S. OTTAVIO , CORSO SAN MAURIZIO, CORSO SAN MAURIZIO";10;251.055127766;119;45.068909999999995, 7.691165
Regio Parco;"VIA MESSINA, VIA MESSINA, ""VIA GENE GIUSEPPE"", ""VIA GENE GIUSEPPE"", CORSO REGIO PARCO, CORSO REGIO PARCO";6;134.848776234;127;45.076855, 7.694210000000001
Regina Margherita 4;"VIA FIOCHETTO GIANFRANCESCO, VIA FIOCHETTO GIANFRANCESCO, ""VIA GENE GIUSEPPE"", ""VIA GENE GIUSEPPE""";4;188.149442693;126;45.0746, 7.690325
Regina Margherita 3;CORSO SAN MAURIZIO, CORSO SAN MAURIZIO, VIA MESSINA, VIA MESSINA;4;289.881865295;125;45.073609999999995, 7.692735000000001
Regina Margherita 2;VIA BUNIVA MICHELE, VIA BUNIVA MICHELE, VIA GIULIA DI BAROLO , VIA GIULIA DI BAROLO, VIA GIULIA DI BAROLO , VIA GIULIA DI BAROLO, CORSO REGINA MARGHERITA, CORSO REGINA MARGHERITA;8;293.501056691;124;45.072345, 7.6972
Regina Margherita 1;VIA RICASOLI BETTINO, VIA RICASOLI BETTINO, VIA RICASOLI BETTINO, VIA RICASOLI BETTINO;4;196.587659518;123;45.06957, 7.705755
Borromini;VIA FIGLIE DEI MILITARI, VIA FIGLIE DEI MILITARI, VIA BARDASSANO, VIA BARDASSANO;4;294.385178374;15;45.06716, 7.7083699999999995
XI Febbraio;"VIA FIOCHETTO GIANFRANCESCO, VIA FIOCHETTO GIANFRANCESCO, ""VIA GENE GIUSEPPE"", ""VIA GENE GIUSEPPE""";4;216.025278139;165;45.07692, 7.68738
Bolzano;VIA REVEL OTTAVIO, VIA REVEL OTTAVIO, VIA MONTECUCCOLI RAIMONDO, VIA MONTECUCCOLI RAIMONDO;4;335.99937936;13;45.07139, 7.666689999999999
Valdocco 2;VIA PERRONE, VIA PERRONE, VIA CITTADELLA, VIA CITTADELLA, VIA JUVARRA, VIA JUVARRA, VIA BLIGNY, VIA BLIGNY, VIA CARMINE (DEL), VIA CARMINE (DEL);10;221.742124695;153;45.075334999999995, 7.673719999999999
Dante;VIA MADAMA CRISTINA, VIA MADAMA CRISTINA;2;225.720938178;34;45.04764, 7.67267
Piazza Carlina;VIA MARIA VITTORIA, VIA MARIA VITTORIA, VIA ACCADEMIA ALBERTINA, VIA ACCADEMIA ALBERTINA;4;224.835853239;101;45.06678, 7.6889199999999995
Galileo Ferraris 5;VIA REVEL OTTAVIO, VIA REVEL OTTAVIO;2;297.86081867;49;45.06682, 7.6714649999999995
Adriano;VIA COLLEGNO GIACINTO, VIA COLLEGNO GIACINTO;2;248.2734978;1;45.070665000000005, 7.65597
Nizza 3;VIA FINALMARINA, VIA FINALMARINA, VIA LAVAGNA, VIA LAVAGNA, VIA LAVAGNA, VIA LAVAGNA, PIAZZA GIACOMINI CARLO, PIAZZA GIACOMINI CARLO;8;268.94718135;94;45.035740000000004, 7.668660000000001
Nizza 2;VIA BIDONE, VIA BIDONE, VIA VALPERGA CALUSO, VIA VALPERGA CALUSO;4;162.365691597;93;45.05426, 7.6755949999999995
Galileo Ferraris 2;VIA COLOMBO CRISTOFORO, VIA COLOMBO CRISTOFORO;2;342.807014405;46;45.056684999999995, 7.66447
Bertola;VIA BERTOLA ANTONIO GIUSEPPE, VIA BERTOLA ANTONIO GIUSEPPE;2;70.2605383863;10;45.06982, 7.68231
Politecnico 2;CORSO DUCA DEGLI ABRUZZI (CORSO MONTEVECCHIO 67);1;227.809074505;108;45.062295, 7.663065
Vittorio Emanuele II 3;VIA PARINI, VIA PARINI, VIA PARINI, VIA PARINI, CORSO MATTEOTTI GIACOMO, CORSO MATTEOTTI GIACOMO, CORSO MATTEOTTI GIACOMO, CORSO MATTEOTTI GIACOMO;8;236.435045334;160;45.06454, 7.6738100000000005
Vittorio Emanuele II 6;VIA PARINI, VIA PARINI, VIA PARINI, VIA PARINI, CORSO MATTEOTTI GIACOMO, CORSO MATTEOTTI GIACOMO, CORSO MATTEOTTI GIACOMO, CORSO MATTEOTTI GIACOMO;8;183.154511727;163;45.063795, 7.676260000000001
Lagrange;CORSO MATTEOTTI GIACOMO, CORSO MATTEOTTI GIACOMO;2;342.101078403;64;45.06344, 7.68087
Piazza Nizza;VIA BIDONE, VIA BIDONE, VIA VALPERGA CALUSO, VIA VALPERGA CALUSO;4;293.243403253;103;45.051615000000005, 7.67435
Tortona;VIA RICASOLI BETTINO, VIA RICASOLI BETTINO, VIA RICASOLI BETTINO, VIA RICASOLI BETTINO;4;176.812079332;144;45.071645000000004, 7.707644999999999
Orbassano;VIA CASSINI GIANDOMENICO, VIA CASSINI GIANDOMENICO, VIA CASSINI GIANDOMENICO, VIA CASSINI GIANDOMENICO, VIA PIAZZI GIUSEPPE, VIA PIAZZI GIUSEPPE;6;311.964090316;96;45.05312, 7.655695
Universita`3;"VIA MARIA VITTORIA, VIA MARIA VITTORIA, VIA GIULIA DI BAROLO, VIA GIULIA DI BAROLO, ""VIA SANTOTTAVIO"", ""VIA SANTOTTAVIO"", VIA ACCADEMIA ALBERTINA, VIA ACCADEMIA ALBERTINA, ""VIA SANTOTTAVIO"", ""VIA SANTOTTAVIO"", VIA S. OTTAVIO , VIA S. OTTAVIO ";12;226.784235158;150;45.06758, 7.69171333333333
Valentino 2;VIA GIACOSA GIUSEPPE;1;261.239302292;155;45.054875, 7.68553
Valentino 1;VIA MILLE (DEI), VIA MILLE (DEI);2;342.039274327;154;45.059145, 7.68805
Principi d`Acaja 1;VIA PALMIERI PIETRO, VIA PALMIERI PIETRO, VIA COLLEGNO GIACINTO, VIA COLLEGNO GIACINTO;4;275.137442846;116;45.07318, 7.6622699999999995
Giardini Cavour;VIA MILLE (DEI), VIA MILLE (DEI);2;111.120149932;55;45.06315, 7.688885000000001
Risorgimento;CORSO SVIZZERA, CORSO SVIZZERA, CORSO SVIZZERA, CORSO SVIZZERA;4;214.750657886;129;45.07965, 7.65217
O.G.R.;CORSO DUCA DEGLI ABRUZZI (CORSO MONTEVECCHIO 67);1;268.367438151;95;45.066655, 7.66182
Lungo Po Cadorna;VIA GIULIA DI BAROLO, VIA GIULIA DI BAROLO;2;269.319434591;73;45.065490000000004, 7.69871
