"id" "period" "season" "sum_space_free" "sum_broken" "sum_total" "mean_predict_day_spaces_free" "perc_slot_free" "perc_broken_bikes" "name" "lat" "long" "total_station_size" "average_dist_bus" "bus_stops" "average_dist_school" "num_schools" "num_hosp" "departments" "average_dist_hosp" "num_mall" "average_dist_mall" "numb_shops_mall" "surface_mall" "average_surface" "average_dist_sale" "num_sale" "max_surface_sale" "mean_surface_sale" "min_surface_sale" "tot_surface_sales" "average_dist_open_air_market" "num_open_air_market" "max_days_open" "min_days_open" "mean_days_open" "tot_days_open" "max_total_places" "min_total_places" "mean_total_places" "tot_total_places" "stat_zone" "TOTALE" "Totale.stranieri" "perc_stranieri" "use"
"1" 1 "morning" "autumn" 537 209 996 0.607080585625875 0.539156626506024 0.209839357429719 "Adriano" 45.070665 7.65597 12 218.081155806 16 248.2734978 2 0 0 0 0 0 0 0 0 217.89720887 4 399 360 322 1442 0 0 0 0 0 0 0 0 0 0 "PORTA SUSA - NUOVO TRIBUNALE" 9849 850 0.086303177987613 0
"2" 1 "morning" "spring" 493 307 1092 0.523769956572125 0.451465201465201 0.281135531135531 "Adriano" 45.070665 7.65597 12 218.081155806 16 248.2734978 2 0 0 0 0 0 0 0 0 217.89720887 4 399 360 322 1442 0 0 0 0 0 0 0 0 0 0 "PORTA SUSA - NUOVO TRIBUNALE" 9849 850 0.086303177987613 0
"3" 1 "morning" "summer" 369 308 888 0.621245029620391 0.415540540540541 0.346846846846847 "Adriano" 45.070665 7.65597 12 218.081155806 16 248.2734978 2 0 0 0 0 0 0 0 0 217.89720887 4 399 360 322 1442 0 0 0 0 0 0 0 0 0 0 "PORTA SUSA - NUOVO TRIBUNALE" 9849 850 0.086303177987613 0
"4" 1 "afternoon" "winter" 529 253 1068 0.482661379426187 0.495318352059925 0.23689138576779 "Adriano" 45.070665 7.65597 12 218.081155806 16 248.2734978 2 0 0 0 0 0 0 0 0 217.89720887 4 399 360 322 1442 0 0 0 0 0 0 0 0 0 0 "PORTA SUSA - NUOVO TRIBUNALE" 9849 850 0.086303177987613 1
"5" 2 "early" "autumn" 1942 43 2260 0.601382361780708 0.85929203539823 0.0190265486725664 "Arbarello" 45.07356 7.676585 20 240.291286976 16 151.085733942 6 0 0 0 0 0 0 0 0 214.106616091 9 691 385 270 3470 313.773437716 1 6 6 6 6 115 115 115 115 "MUNICIPIO" 9777 1716 0.175513961337834 1
"6" 2 "morning" "spring" 1452 59 1840 0.523383482513431 0.789130434782609 0.0320652173913044 "Arbarello" 45.07356 7.676585 20 240.291286976 16 151.085733942 6 0 0 0 0 0 0 0 0 214.106616091 9 691 385 270 3470 313.773437716 1 6 6 6 6 115 115 115 115 "MUNICIPIO" 9777 1716 0.175513961337834 1
"7" 2 "afternoon" "summer" 1508 84 1920 0.623679641591615 0.785416666666667 0.04375 "Arbarello" 45.07356 7.676585 20 240.291286976 16 151.085733942 6 0 0 0 0 0 0 0 0 214.106616091 9 691 385 270 3470 313.773437716 1 6 6 6 6 115 115 115 115 "MUNICIPIO" 9777 1716 0.175513961337834 1
"8" 2 "evening" "winter" 2523 120 3480 0.482704308050881 0.725 0.0344827586206897 "Arbarello" 45.07356 7.676585 20 240.291286976 16 151.085733942 6 0 0 0 0 0 0 0 0 214.106616091 9 691 385 270 3470 313.773437716 1 6 6 6 6 115 115 115 115 "MUNICIPIO" 9777 1716 0.175513961337834 1
"9" 3 "late" "autumn" 1648 39 1830 0.610518302958644 0.900546448087432 0.0213114754098361 "Arcivescovado" 45.06706 7.678175 15 244.564669223 19 231.361881559 8 0 0 0 0 0 0 0 0 285.599311378 17 2168 615 298 10467 0 0 0 0 0 0 0 0 0 0 "P.ZZA S. CARLO-P.ZZA CARLO FELICE" 4001 375 0.0937265683579105 1
"10" 3 "late" "spring" 1641 232 2055 0.524637656436915 0.798540145985401 0.112895377128954 "Arcivescovado" 45.06706 7.678175 15 244.564669223 19 231.361881559 8 0 0 0 0 0 0 0 0 285.599311378 17 2168 615 298 10467 0 0 0 0 0 0 0 0 0 0 "P.ZZA S. CARLO-P.ZZA CARLO FELICE" 4001 375 0.0937265683579105 1
"11" 3 "late" "summer" 1055 139 1335 0.622393215884212 0.790262172284644 0.104119850187266 "Arcivescovado" 45.06706 7.678175 15 244.564669223 19 231.361881559 8 0 0 0 0 0 0 0 0 285.599311378 17 2168 615 298 10467 0 0 0 0 0 0 0 0 0 0 "P.ZZA S. CARLO-P.ZZA CARLO FELICE" 4001 375 0.0937265683579105 1
"12" 3 "late" "winter" 984 73 1365 0.482710443608148 0.720879120879121 0.0534798534798535 "Arcivescovado" 45.06706 7.678175 15 244.564669223 19 231.361881559 8 0 0 0 0 0 0 0 0 285.599311378 17 2168 615 298 10467 0 0 0 0 0 0 0 0 0 0 "P.ZZA S. CARLO-P.ZZA CARLO FELICE" 4001 375 0.0937265683579105 1
"13" 4 "morning" "autumn" 1115 15 1245 0.607080585625875 0.895582329317269 0.0120481927710843 "Baretti" 45.057635 7.681255 15 253.377377519 8 325.202087141 1 0 0 0 0 0 0 0 0 286.701710515 3 400 338 259 1016 235.694373181 1 6 6 6 6 149 149 149 149 "S. SALVARIO - VALENTINO" 11518 2612 0.226775481854489 1
"14" 4 "morning" "spring" 1083 160 1380 0.523383482513431 0.784782608695652 0.115942028985507 "Baretti" 45.057635 7.681255 15 253.377377519 8 325.202087141 1 0 0 0 0 0 0 0 0 286.701710515 3 400 338 259 1016 235.694373181 1 6 6 6 6 149 149 149 149 "S. SALVARIO - VALENTINO" 11518 2612 0.226775481854489 1
"15" 4 "morning" "summer" 911 68 1110 0.621245029620391 0.820720720720721 0.0612612612612613 "Baretti" 45.057635 7.681255 15 253.377377519 8 325.202087141 1 0 0 0 0 0 0 0 0 286.701710515 3 400 338 259 1016 235.694373181 1 6 6 6 6 149 149 149 149 "S. SALVARIO - VALENTINO" 11518 2612 0.226775481854489 1
